"From files: pickles/military_pickles/military_A,B.p, greedy_bow_results.json",,Which passage is more topic relevant?,How fluent is the passage of A?,How fluent is the passage of B?,Raymis,Which passage is positive?,How fluent is the passage of A?,How fluent is the passage of B?,Shannon,Which passage is positive?,How fluent is the passage of A?,How fluent is the passage of B?,Hayley,,,,,,,,,,,,
"Emphasised are the two main characteristics: an increased ability to fight, and an increased capacity for survival. The ability to fight is the first major attribute that the soldier needs to achieve combat effectiveness. The soldier can kill enemy forces without having much combat experience. The ability to kill enemy forces and survive are two of the main attributes a soldier needs to achieve combat effectiveness. The soldier can win the fight without having any combat experience, and the soldier can win without ever having been shot at, beaten up, shot at from
 ","Emphasised are the following areas of concern:

1 – An increasing number of people are seeking out medical treatment because of the lack of care.

2 – Medical professionals do not have the training or resources to meet patients with a variety of health conditions, and there are no resources to address this.

3 – In the current health budget, funding for mental health services,",A,3,5,,A,4,5,,A,4,4,,,,,,,,,,,,,41_153_306
"Furthermore, we are not sure how well we can rely on the existing infrastructure, given the current situation in Ukraine, with the Kremlin actively trying to destabilize Ukraine by sending troops into eastern provinces, as well as by providing troops to the rebels, which the Ukrainian army and pro-Russian rebels claim is a Russian invasion.

""We do not want to fight the Russians in a fight,","Furthermore, in the case of the United States, the military command responsible for the military operations and intelligence operations of the United States military command for Iraq was responsible for intelligence and intelligence support for the war. The command had direct control of intelligence and intelligence intelligence services in Iraq; intelligence and intelligence intelligence services and military intelligence services; combat intelligence; intelligence and intelligence intelligence services and combat intelligence intelligence services; intelligence intelligence intelligence intelligence agencies; intelligence intelligence intelligence intelligence services (intelligence agencies); intelligence intelligence intelligence intelligence agencies intelligence intelligence agencies intelligence
 ",Both,3,1,,Both,3,1,,Both,2,1,,,,,,,,,,,,,24_174_29
"The central theme of this article is that the U.S. has become an economic superpower, but has failed to create a viable domestic market. The article argues that the American economy has been largely built on the export of goods, services, and technology, a system which was supposed to create jobs and growth. The article also argues that the United States should be prepared to defend itself if attacked by","The central theme of our new series The Great Recession is that it didn't happen.
 We don't mean to attack the economy, we simply want to make this clear: There was absolutely no ""Great Recession"" – the Great Depression or a similar economic event, and the recovery from that event was just as strong, if not better than the Great Recession of 2008–09.
 This is what the experts are saying:
 The major economic events of the last 40 years have not been ""real
 ",Neither,3,3,,Neither,3,3,,Neither,4,4,,,,,,,,,,,,,27_710_233
"To review, I've been working on a new system called a ""system of control"". I'm currently developing the system, which should be out by early 2017.

The goal of the system is to allow me to have control over all of the game's AI. This will mean that I will be able to play any level of difficulty that is in my control and will have the advantage","To review, I had a great time at a conference in London last week (it was in mid-March) and it was great to meet some amazing women in my area. I met a few of them who were working in the industry and it just seemed like every woman there was a specialist. I was particularly struck by two women, who are both very experienced at doing their jobs. They were able to engage people with no prior exposure to their expertise and engage those who were interested in learning more about how they
 ",Neither,4,4,,Neither,4,4,,Neither,4,4,,,,,,,,,,,,,15_730_743
"It has been shown that a high intake of carbohydrates can cause major changes to the formation of insulin resistance (Irs). This is because of a reduction in carbohydrate storage and utilization of carbohydrate energy (as seen in the example above) leading to insulin resistance. This is a major reason why the Irs have been found to be associated and associated with major metabolic diseases such as diabetes.
 The major component of the insulin response to a high carbohydrate diet is insulin. When this response is not inhibited by the formation of insulin
 ","It has been shown that, when exposed to a particular odor, the brain produces a complex set of neural pathways associated with processing the odor. These pathways include those involved in the production of conditioned taste responses. The present study used a behavioral paradigm with a novel, and unexpected, task of smelling to investigate the effect of a novel odor pairing on the perception of aversive information (e.g.,",Neither,4,4,,Neither,4,4,,Neither,4,4,,,,,,,,,,,,,51_815_562
"Foundational to this is the concept of 'the individual's capacity.' The 'individual's capacity' is what it means to you and me to be a part of a group that has a common goal. In this example, a group of four soldiers are in a battle field, fighting against the enemy forces. The soldiers get a lot of kills but their health is low. One soldier is wounded","Foundational to this is the idea of a single unit, which is not only an abstraction of the unit itself (i.e. the unit itself), but also is the unit in general. For example, a unit can be seen in the unit of time (the unit of measure), the unit of space (the unit of space measurement), the unit of time measure and time unit. It is also used as unit in mathematics and logic. However, as mentioned earlier unit unit is not used in mathematics (although unit unit
 ",A,4,2,,A,4,3,,A,4,4,,,,,,,,,,,,,13_410_293
"Emphasised are the differences of opinion among major parties on the issue of military spending.
 The military is an important part of our national life but it also is the biggest employer and is vital to a democratic society. This is why the Government and major parties of the major political parties have made it very clear that they are prepared to make substantial spending cuts in order to secure our military's long-term peace of mind.
 The military is a significant source of funding for many vital government services. It is
 ","Emphasised are all the different types of animals that have different needs. Some animals, such as dogs and cats, are very adaptable and have many ways of coping with problems. Others, such as bears and tigers, are ferocious.
The only thing the enemy could not do was take the advantage of the situation and win.
A few hours after the battle began, an enemy general",A,4,4,,A,4,4,,A,4,4,,,,,,,,,,,,,39_413_780
"Emphasised are the effects of the changes to the law introduced in the 1990s, including a reduction in penalties for serious and organised violent crime, and an increase in the maximum jail sentence.

In the past few months, there have been some very high-profile cases in which police officers have used deadly force in the line of duty. In each of these cases, there has been","Emphasised are the major features of the present work in this section: (i) the general framework in which the present work is presented; (ii) some general theoretical ideas which are incorporated in the major ideas of the present work. (iii) general considerations about the interpretation and general applicability of the present work.
 It is important to stress that the general framework in which the present work is presented has nothing to do with general theoretical ideas about consciousness which might be generalised to consciousness as general phenomena.
 ",Neither,5,4,,A,4,4,,Neither,4,4,,,,,,,,,,,,,40_396_81
"The connection

As a young professional, my life was full of challenges that included being an actor, an artist, and an author. I was fortunate to have mentors in both of them, and in my case, I also have a great deal of success as the head of the New York Rangers, which makes me the perfect boss to be a member of.
We are a family run","The connection between the two is so strong, it's almost impossible to ignore. The most famous story of the two is the famous battle between Jesus Christ and his disciples. It's also a great story of how people who are on both sides of that conflict could actually win each other. But the battle is also a great metaphor for the relationship between God and us in general. It's not just about winning or losing. It's also about how God wants His kingdom to be known to everyone and everyone knows how
 ",Neither,4,4,,Neither,5,4,,Neither,4,4,,,,,,,,,,,,,11_152_337
"Prior to this week, the only thing that I knew was that we had some major issues with our server. I was going to leave it there but then we got some information from the devs and I had to leave to get a new server. I didn't think much of it.
 I had a lot of fun playing this game and I think that I got my money's worth out of it. This weekend I got to spend some time playing some PvP matches and I'm really enjoying this aspect of the
 ","Prior to this, we knew a few things about the game: it's an open world RPG with exploration, combat, and combat mechanics similar to Fallout 3, and a large variety of enemies to fight. This is a huge improvement over the original, and adds some new enemies like flying robots in a large open world combat arena, and even a new boss fight against the mysterious, deadly alien entity",Neither,4,4,,Neither,5,4,,Neither,4,4,,,,,,,,,,,,,36_841_238
"The issue focused on the issue of whether the president's proposed executive order, signed Monday in the Rose Garden, would prevent citizens from traveling to the U.K. in protest over a ban on Muslim immigration.

""It's a dangerous situation, the country,"" he said of the city's police and firefighters who, he said, should have the ability to shoot back at an attacker who","The issue focused on the ""dangers"" and ""impacts"" of the military force that President Barack Obama created and maintained, with the help of military commanders, in Yemen. It included military aircraft that were shot down and a commander who allegedly killed at least 10 of his own troops.
 In his first major statement on the military force, Obama said he was not aware of any ""unacceptable actions"" by the military.
 The military commander in charge of the operation, Lt. Gen. Stephen Townsend
 ",B,4,5,,B,4,5,,B,4,4,,,,,,,,,,,,,56_388_323
"The central theme of the war in Syria is a conflict over power and control over the nation's resources. The war is not about military conquest or territorial conquest or military conquest of land. Instead, the war is about how we as a nation have become dependent on foreign sources of wealth, and thus the war is about who has influence over the nation and what it has become and who controls that influence.
 As military conflict continues to escalate in Syria with military tactics increasingly becoming more sophisticated, military intervention appears inevitable.
 ","The central theme to this article is that there's no way we know what will happen when a government is in a position to destroy itself. This is the first part of a five-part series that is the result of the ongoing debate among academics about how to deal with a government that is in crisis, and how to make it a better place in the future.
For decades, the U",A,5,4,,A,5,4,,A,4,4,,,,,,,,,,,,,29_219_172
"In summary, our data indicate that the presence of a single gene for the major histocompatibility complex (MHC) locus in humans is associated with an increased risk for developing autoimmune diseases, especially type 1 diabetes. We also identified a single gene, the C-terminal region of the HLA-C polymorphism, associated with type 1 diabetes.<|endoftext|>The first time I saw the movie, I was about 15. I had no idea what the hell I was watching. I had no idea
 ","In summary:

The US military has been conducting a series of airstrikes in Syria to support Syrian troops trying to recapture Raqqa from the Islamic State (ISIS), which has seized large swathes of territory across Iraq. According to the US, there is no intelligence to suggest that the air strikes are being conducted by Syrian military forces, but they are believed to be carried out by a combination of",B,3,4,,B,4,4,,B,3,4,,,,,,,,,,,,,0_197_460
"To summarise:
 1. It is possible to make an argument about the nature of knowledge and to show that it is not necessarily generalizable in general; that is, that knowledge and its generalization are not general.
 2. Knowledge can be generalizable only in a limited way.
 3. Knowledge may be generalizable in a general sense only if general knowledge is generalizable at all levels of knowledge. That is, knowledge generalizable only at the general level cannot generalize knowledge general
 ","To summarise, it was an interesting experience and the game did get a bit repetitive. However, once again, the developers made it a game about exploration rather than combat. It felt more about exploring an environment with other players rather than battling enemies. In my opinion, the combat system is the worst part about this game. In most combat combat games combat is fought with attacks, shields or magic",Neither,4,4,,B,4,4,,B,4,4,,,,,,,,,,,,,43_495_338
"To conclude, we should note that there are some things we know for certain about the origins of Christianity from the first century AD (or early Roman period): the Church's earliest beginnings in the Roman Empire are very early; Christianity was practiced by the Roman citizens of the Empire in its early years; Christian missionaries began to arrive in the Empire after the conquest of Gaul; and the Roman emperor had to","To conclude, it is important to note that, although the general trend is downward, we do not expect the number of women to decline significantly over the coming decade. We do expect the percentage of men to increase as we continue to add women to the workforce and as our economy expands.
 The current rate of increase in births (1.2 percent in 2013 to 2.6 percent in 2014) suggests that fertility rates have been trending downward for decades and continue to trend downward in some regions of the nation.
 ",Neither,2,4,,Neither,2,4,,Neither,3,4,,,,,,,,,,,,,31_838_827
