"From files: pickles/sentiment_2_pickles/sentiment_2_A,B.p, uber_sentiment_80.jsonl",,Which passage is positive?,How fluent is the passage of A?,How fluent is the passage of B?,Raymis,Which passage is positive?,How fluent is the passage of A?,How fluent is the passage of B?,Shannon,Which passage is positive?,How fluent is the passage of A?,How fluent is the passage of B?,Hayley,,,,,,,,,,,,
"The movie's plot, the characters, and the music, have all been created with great skill. The acting is top-notch as usual, and even the voice-acting, which is excellent, has been a revelation.

There is a certain","The movie is a great story and the acting was superb. I would recommend this to anyone who likes movies about people overcoming adversity. 
 Rating: 5.0 
 This film has been one of my favorites for years. It is an excellent portrayal of how life can be in difficult times. 
 Rating: 5.0 
 Great movie! A must see if you like true stories. Very inspiring. You will",Both,4,5,,Both,4,3,,Both,4,5,,,,,,,,,,,,,5_890_353
"The potato is growing, the egg is hatched and the new year has arrived! I hope you enjoy it! It is a wonderful sight that shows that the technology is there! We are so excited about what they were to see on the way here!

","The potato is a great source of protein and fiber for my dogs. They love them as treats. 
 Rating: 5.0 
 My dog loves these treats - I have to hide the bag from her so she doesn't eat all at once. She gets one every day or two if I'm not home. Great treat that keeps your dogs healthy. 
 Rating: 5.0 
 These are very good quality and",Both,4,4,,Both,4,4,,Both,4,5,,,,,,,,,,,,,1_212_247
"Once upon a time, the Earth was a wonderful place to live and live well. The water was pure, the air was rich with life, and the climate was warm and humid.

But that's all changed.

The oceans and atmosphere have begun to","Once upon a time I was in the market for an inexpensive but good quality set of earbuds. After reading many reviews and looking at several different brands I decided to go with these JBuds. They are very comfortable and have great sound quality. The only thing that would make them better is if they had volume control on them. 
 Rating: 5.0 
 These headphones were exactly what i",B,3,4,,B,3,4,,B,3,4,,,,,,,,,,,,,9_50_869
"The book is a great read and I highly recommend it. It has some very interesting points about the history of our country that are not taught in school. 
 Rating: 5.0 
 This movie was so well done it made me want to go back and watch all the other movies they made. Great acting by all. 
 Rating: 5.0 
 A must see for anyone who wants to know what","The book is an epic tale of a group of great minds and a superbly talented band and I have a very big heart for you. I want to make you feel the way I felt about this incredible story, the power of this amazing book and the incredible",Both,4,4,,Both,3,4,,B,4,4,,,,,,,,,,,,,10_867_684
"The road to the top of the mountain is not always easy and sometimes it seems like you are going down a steep hill. But if you keep your eyes on God he will take care of you. 
 Rating: 5.0 
 I love this song. It has such an awesome message that everyone can relate to. This song reminds me of my favorite Bible verse. &#34;He who lives","The road is a wonderful place to visit, and the weather is a delight for the eye!

The beautiful views of the stunning Himalayan Mountains are truly stunning. The best part about the trip to the beautiful Himalayan mountains is that you are in a",Both,5,4,,B,3,4,,Both,4,4,,,,,,,,,,,,,11_29_754
"The president of the country's oldest Jewish museum is planning an event celebrating its 150th anniversary in 2017.

The New York State Historical Society will host a commemorative event honoring the Jewish people and the Holocaust at the newly refurbished and expanded Holocaust Memorial Museum on Friday.","The president of the country is a man who has been in office for over two years and he still hasn't figured out how to use his cell phone. He doesn't even know what it is. I don't think he's ever seen one. But that's okay, because this phone was made by AT&T; so it's probably not that hard to figure out. It works just like any other phone, but with one",A,4,3,,Neither,4,3,,Neither,4,3,,,,,,,,,,,,,3_818_679
"The city of Edmonton, AB is located on the edge of the Great Salt Lake in one of the most beautiful places in the world. With breathtaking views, breathtaking mountains, the greatest waterfalls, amazing snowfields and a plethora of amazing natural scenery, it's","The city of New York is a great place to live and work for many reasons. One reason being that it has the best public transportation system in the world. I have been using this product since 2005 when my first child was born and we still use it. It works well with our stroller as well. 
 Rating: 5.0 
 This thing is awesome! We bought one about 5",Both,3,4,,Both,5,4,,Both,4,4,,,,,,,,,,,,,7_662_837
"The chicken is a great way to get your protein and fiber in one meal. I have been eating this for years but it was getting hard to find so when Amazon had the deal on it, I jumped at it. 
 Rating: 5.0 
 This product has become my favorite of all time. It tastes great, it's easy to make, and you can add whatever vegetables or meats you'd like. It's also","The chicken was delicious, the sauce was delicious. I was very impressed with this recipe and I will definitely be making it for dinner again when my wife and daughter are home!<|endoftext|>""It is our mission to serve the needs of the people,"" he said.",Both,3,3,,Both,4,5,,B,4,4,,,,,,,,,,,,,6_237_700
"The pizza dough is very good, and I loved that it's vegan as well and that there's a great range of flavours. The best tasting pizza is the one with the perfect flavours, which is why I love the 'best of the best' tasting pizz","The pizza cutter is very sharp and cuts through the crust with ease. I would recommend this to anyone who wants a good quality cutter. 
 Rating: 5.0 
 This was my first time using one of these cutters so it took me some getting used to. It works great though. It's easy to clean too. 
 Rating: 5.0 
 My husband loves his new Pizza Cutter. He says it's much",Both,3,4,,Both,3,4,,Both,3,4,,,,,,,,,,,,,12_720_219
"The last time the city's most iconic landmark was a great time of the year to enjoy a very spectacular and very important exhibition, with a very high level of quality and excellence. At first sight, it is a remarkable display of the most advanced techniques and techniques,","The last time I had a chance to use this was on my trip to the UK and it worked great. It is very easy to use, just plug in your device (phone, tablet, etc) and then press the button for 3 seconds until you see the charging light come on. Then when you're ready to charge it, simply push again for another three seconds. 
 Rating: 5.0 
 This product",Both,4,4,,A,3,4,,Both,3,4,,,,,,,,,,,,,13_642_745
