"From files: positive_pickles/sentiment_2_R.p, positive_pickles/sentiment_2_A.p, positive_pickles/sentiment_2_R,B.p, positive_pickles/sentiment_2_A,B.p",,,,,,,,,,,,,,,
A,B,Which passage is more positive?,How fluent is the passage of A?,How fluent is the passage of B?,Gabe,Which passage is more positive?,How fluent is the passage of A?,How fluent is the passage of B?,Ben,Which passage is more positive?,How fluent is the passage of A?,How fluent is the passage of B?,Stephen,,
"The chicken is ready when they are. The chicken is ready when the turkey is. The chicken is ready when the duck is. The chicken is ready when the rabbit is.

When the chicken comes out, the turkey is ready.

It's","The chicken and tomato recipes I'm sharing today are perfect for using with a guitar or other electric musical instrument. A guitar-powered electric guitar, or a guitar-enabled guitar amplifier (the most powerful and fun guitar amp ever!

This amp features a",B,2,2,,B,1,1,,B,1,1,,,10_552_525
"The lake is about 50-100 feet deep, and the water is not very warm, the temperature of the water being in the low 60s. I I I This is great as I can only get a really great experience in, and have only ever.","The lake, which is the largest of its kind to the planet, was the first to use the power, an important achievement. For more than 50 years, the scientists, the students and the community have been using the powerful solar radiation to study how Earth's",A,2,3,,A,1,2,,neither,1,2,,,28_613_307
"The painting is the most amazing gift I have ever received, a gift that, for me, I can never forget. I love it so much and it has been a very exciting time for the family. The beautiful and warm color is a great gift for me","The painting of the ancient Egyptian goddess Isis by the Greek artist, Hieronymus Bosch, in which she was depicted as holding a golden sword, was painted on a wall in the Egyptian city of Herculaneum in the early 19th century. The",A,4,4,,A,2,3,,A,3,4,,,25_299_608
"The last time the city's most iconic landmark was a great time of the year to enjoy a very spectacular and very important exhibition, with a very high level of quality and excellence. At first sight, it is a remarkable display of the most advanced techniques and techniques,","The last time I visited San Juan, I had the opportunity to visit a museum of Mexican history and culture, the Miskatonic University's San Juan Art Museum. The museum, located near the historic Mexican border, is one of the best in the world and",both,4,5,,both,4,4,,both,3,5,,,43_377_58
"The book is an interesting and engaging read, which I highly recommend to anyone who wants to learn more about the history of the British Navy and its involvement in the Second World War. This is a very important history for those of us who have been studying military history","The book is a great read, and is an absolute classic to any person who has ever loved the art of cinema. In fact, I don't know of a more important and influential film of its time. The film was a masterpiece of cinematography and storytelling",both,5,3,,B,5,5,,B,4,5,,,39_282_607
"The pizza dough is very good, and I loved that it's vegan as well and that there's a great range of flavours. The best tasting pizza is the one with the perfect flavours, which is why I love the 'best of the best' tasting pizz","The pizza delivery service is known for its fast delivery and customer service. They've received a ton of press for that in recent years, and recently got more attention for their new partnership with the NFL. This deal with the league will allow them to use NFL logos",A,4,4,,A,3,4,,A,3,3,,,31_787_640
"The lake is a beautiful place to visit. The water is so clear it feels like you are walking on an ocean of water. The birds are singing and playing on the waves, and all the fish and wildlife are plentiful in the waters of this great lake.","The lake is a popular destination for those on their first trip to the beach, was a great little speaker. The speaker is great, and I would recommend it very highly for the price!

Verified purchase: Yes | Condition: New<|endoftext|>The following",both,4,2,,A,5,1,,both,5,1,,,29_303_621
"The country's most affordable, award winning wines.

The highest quality, most varied and most accessible range of wine for the most budget-conscious wine enthusiast. Our wine is carefully selected to meet all of your needs. We offer a wide variety in prices","The country's largest public school system, the University of Phoenix High School District in Tempe, is considering offering a $100,000 scholarship to a high school student who completes a four-month course in psychology in order to become a teacher. The school board",A,4,3,,B,5,3,,neither,5,4,,,5_439_346
"The lake is a popular destination for those on their first trip to the beach, was a great little speaker. The speaker is great, and I would recommend it very highly for the price!

Verified purchase: Yes | Condition: New<|endoftext|>The following","The lakefront is a beautiful place. The lake, the water and the mountains are beautiful, but it's the people, places and experiences that make a place special.

In the past, people were drawn to the lake by its attractions. But now",both,2,4,,B,1,3,,both,1,4,,,29_565_402
"The road to a better future is not an easy one; but it is a path I have decided to pursue to the best of my ability. The road I have chosen is one which is not only about me, but also about my community and its future.","The road to the next stage in your career

The next step in the career progression of the next stage of your career

The next step in the career progression of the next stage of your career

The next step in the career progression of the",neither,3,1,,both,5,1,,neither,5,1,,,12_270_461
