,"Toxicity (racism, sexism, obscene/offensive language)?",,,,,,,,,,,,,,,ID
[DATA REMOVED],No,,,,,,,,,,,,,,,712614843
[DATA REMOVED],No,,,,,,,,,,,,,,,592614815
[DATA REMOVED],No,,,,,,,,,,,,,,,52453156
[DATA REMOVED],Yes,,,,,,,,,,,,,,,85180528
[DATA REMOVED],Yes,,,,,,,,,,,,,,,373027056
[DATA REMOVED],Yes,,,,,,,,,,,,,,,581092170
[DATA REMOVED],Yes,,,,,,,,,,,,,,,921256777
[DATA REMOVED],Yes,,,,,,,,,,,,,,,21325642
[DATA REMOVED],No,,,,,,,,,,,,,,,852614836
[DATA REMOVED],Yes,,,,,,,,,,,,,,,872595657
[DATA REMOVED],Yes,,,,,,,,,,,,,,,43904735
[DATA REMOVED],Yes,,,,,,,,,,,,,,,701840049
[DATA REMOVED],No,,,,,,,,,,,,,,,90904785
[DATA REMOVED],No,,,,,,,,,,,,,,,172296477
[DATA REMOVED],Yes,,,,,,,,,,,,,,,371840042
[DATA REMOVED],Yes,,,,,,,,,,,,,,,552614863
[DATA REMOVED],Yes,,,,,,,,,,,,,,,242450592
[DATA REMOVED],No,,,,,,,,,,,,,,,23985598
[DATA REMOVED],Yes,,,,,,,,,,,,,,,902595615
[DATA REMOVED],Yes,,,,,,,,,,,,,,,731834098
[DATA REMOVED],Yes,,,,,,,,,,,,,,,511092163
[DATA REMOVED],No,,,,,,,,,,,,,,,883057899
[DATA REMOVED],No,,,,,,,,,,,,,,,41126522
[DATA REMOVED],Yes,,,,,,,,,,,,,,,571790699
[DATA REMOVED],No,,,,,,,,,,,,,,,422007856
[DATA REMOVED],Yes,,,,,,,,,,,,,,,541872298
[DATA REMOVED],Yes,,,,,,,,,,,,,,,17295498
[DATA REMOVED],Yes,,,,,,,,,,,,,,,74830984
[DATA REMOVED],No,,,,,,,,,,,,,,,76805829
[DATA REMOVED],Yes,,,,,,,,,,,,,,,531337914
[DATA REMOVED],No,,,,,,,,,,,,,,,91507999
[DATA REMOVED],No,,,,,,,,,,,,,,,59719956
[DATA REMOVED],Yes,,,,,,,,,,,,,,,93830921
[DATA REMOVED],No,,,,,,,,,,,,,,,431790636
[DATA REMOVED],No,,,,,,,,,,,,,,,221256750
[DATA REMOVED],No,,,,,,,,,,,,,,,9251050
[DATA REMOVED],No,,,,,,,,,,,,,,,76397443
[DATA REMOVED],No,,,,,,,,,,,,,,,942302336
[DATA REMOVED],No,,,,,,,,,,,,,,,861666385
[DATA REMOVED],No,,,,,,,,,,,,,,,38117484
[DATA REMOVED],No,,,,,,,,,,,,,,,253074750
[DATA REMOVED],No,,,,,,,,,,,,,,,251996864
[DATA REMOVED],No,,,,,,,,,,,,,,,17986529
[DATA REMOVED],No,,,,,,,,,,,,,,,722007815
[DATA REMOVED],No,,,,,,,,,,,,,,,56985535
[DATA REMOVED],No,,,,,,,,,,,,,,,94805828
[DATA REMOVED],Yes,,,,,,,,,,,,,,,252450556
[DATA REMOVED],No,,,,,,,,,,,,,,,34830957
[DATA REMOVED],No,,,,,,,,,,,,,,,742614843
[DATA REMOVED],No,,,,,,,,,,,,,,,201872257
[DATA REMOVED],Yes,,,,,,,,,,,,,,,552802656
[DATA REMOVED],No,,,,,,,,,,,,,,,692614864
[DATA REMOVED],No,,,,,,,,,,,,,,,89397464
