"From files: pickles/science_pickles/science_A,B.p, greedy_bow_results.json",,Which passage is more topic relevant?,How fluent is the passage of A?,How fluent is the passage of B?,Shannon,Which passage is positive?,How fluent is the passage of A?,How fluent is the passage of B?,Raymis,Which passage is positive?,How fluent is the passage of A?,How fluent is the passage of B?,Hayley,,,,,,,,,,,,
"Emphasised are the two most common and significant factors for the development of depression in patients with bipolar disorder, but there are other factors that are important and potentially important for patients with bipolar disorder and depression. The main risk factors of bipolar disorder include a history of depression, and/or a current history of anxiety, mood disorder, and other mood disorders. The research also reveals that there are other risk factors for developing depression, but that the development of depression may be delayed and that these other risks may be greater than those
 ","Emphasised are the differences from past studies on the association between alcohol and mortality (Table 1). For each study, we present evidence that alcohol-related death is lower among individuals of similar risk (ie, higher than the average risk) compared with the rest of the general population (data not shown).

Results: A total of 905,966 individuals were examined; 547",B,4,4,,B,4,4,,B,3,4,,,,,,,,,,,,,41_153_306
"Furthermore, a study published in the Journal of Applied Physiology found that men are actually more active and have a higher body fat percentage than women.

In the study, a group of researchers at the University of British Columbia measured muscle tissue mass and fat mass in the men and the women at the same age, in their 20s. They also measured muscle size at various ages and in different","Furthermore, in the case of the data, this fact may also help explain how it can be possible to measure the impact of climate change on sea ice volume. As shown in figure 7, the data show that ice volume in the Arctic has increased significantly since 1980 and this volume is now comparable to that of the mid-Atlantic region, which is not only the ice volume of an ice mass that had previously formed only 2 to 3 kilometers below the Arctic Circle surface [5]. This volume volume increase may indicate that
 ",Both,4,3,,Both,4,4,,Both,4,3,,,,,,,,,,,,,24_174_29
"The central theme of this book is to explore the implications of the ""social justice"" movement for human rights in the context of contemporary society.

""A social justice perspective, as we will see, can be a powerful tool in shaping social and political science theory, policy research, and practice. In particular it is a tool for analyzing human rights research and policy analysis that is informed by science","The central theme of our new research into the evolution of the human brain is that of a brain that was not designed to have the capacity to think independently. We are looking at how evolution has reshaped the structure of the brain, with the theory of evolution being a key part to explain our unique brain.
 In a paper to be presented at the annual meeting of The Royal Society of London on Tuesday (15 April), our research team has shown that the evolution of the human brain does not follow the traditional pattern
 ",B,4,3,,B,4,3,,B,4,4,,,,,,,,,,,,,27_710_233
"To review, we have a couple of things here that are not so much ""new"" as they are ""different"". The first is the concept that we can use data to make predictions. The second is data that is ""valid"" (that is, it is consistent with data).

The first of these points is that, in the context of data mining, the data itself is not","To review, I had a good day at a conference in London this morning with a friend of mine. I was on a mission to learn about how data science can help us improve our understanding of the world. It was an event I would have otherwise avoided if it weren't for a fact about my friend. I was at work when a colleague of mine called and wanted to tell me about her research into data science research. It was interesting and interesting stuff and while she was not in the conference room talking directly with
 ",B,4,3,,B,4,3,,B,4,4,,,,,,,,,,,,,15_730_743
"It has been shown that a high intake of carbohydrates can cause an increase in blood glucose levels and decrease insulin resistance in mice. A study by a group of scientists at the Department of Nutrition at the University of Texas at Dallas found a correlation between carbohydrate intake and insulin resistance, with a higher intake of carbohydrates leading to a greater increase in the amount of insulin produced. The research also showed that when the researchers measured insulin levels in the blood, a higher glucose level correlated with an increase in insulin. However, the researchers found no
 ","It has been shown that the effects of the alcohol in the drink may be more pronounced when the concentration of ethanol is greater than 3% . However, the exact mechanism for why this occurs has never been explained. This has led us to the observation that it is a very important chemical that affects the metabolism of many substances.

The mechanism of this chemical reaction that is responsible for the formation of",Both,4,4,,Both,4,4,,Both,4,4,,,,,,,,,,,,,51_815_562
"Foundational to this is a belief in the ability of a person to change their own mind. This is a belief which, as I have discussed elsewhere, is a very basic human ability, yet is rarely appreciated and is often denied.

We can see it in the world as we know it, in the way we do our daily chores to create the conditions which make for the best possible","Foundational to this is the fact that the data we are dealing with is very complex and not easy to analyze. The fact that you have to understand how data works is not something that can be ignored.
 The data we are using in this article is data from the National Crime Victimization Survey data. The data for the US Census Bureau is from the American Community Survey data and is available for download from http://www2.census.gov/population/databases/cps/datacenterdata/
 ",Neither,3,4,,Neither,3,4,,Neither,4,4,,,,,,,,,,,,,13_410_293
"Emphasised are the differences of opinion among members of the group of doctors who had been in charge of the study.
 The study, which followed up more than 3,200 participants for six years, found that the benefits of exercise and exercise-related stress were not as great as those of regular diet and exercise.
 ""The findings are consistent with those of studies that have looked at other forms of physical activity, such as exercise and exercise-related stress, or with research conducted in the lab.
 ","Emphasised are the effects of exposure to the chemical compounds that are used to make plastic in a variety of ways: plastic bags, plastic bottles and polycarbonate containers (PCBs).

The chemical pollutants in these products can also affect human health, such as cancer, reproductive problems, birth defects, and the effects of exposure.

It is also estimated that the plastic chemicals in",Both,4,4,,Both,4,3,,Both,4,4,,,,,,,,,,,,,39_413_780
"Emphasised are the words ""unconditional"" and ""absolute"". It is important to emphasise that this is not a list of rules, it is a list of concepts that should govern the way that we think about the universe and the cosmos.

I have been studying the theory of quantum mechanics for nearly thirty-five years, and I believe that quantum mechanics has some important and","Emphasised are the following key points:
 We have no evidence that climate change or climate science are in any way related. The climate science research community has no climate science research community in the same way that climate science research is in the climate science research community. There are climate science research organisations in every country in the world – research in climate science and climate research research organisations are independent and separate from science research organisations such as science research councils. The scientific literature contains substantial evidence on climate science science research organisations such as
 ",Both,4,4,,Both,4,3,,Both,3,3,,,,,,,,,,,,,40_396_81
"The connection to the internet and to technology is one of many factors that contribute to our current problems, and the Internet of Things could be one of the first to help us address the problem. In a new study, researchers found that IoT applications were responsible for the majority of the energy in a building, with solar-thermal-hydroelectric (THH) plants supplying around 80% of","The connection between the two is so strong, it's almost impossible to ignore. The fact that he's a big-time NFL quarterback has created an enormous opportunity for the Raiders. They have a lot of talent on offense, and they could use some help at receiver. That's not something the Raiders are likely to be overly excited about.
 It's possible this could work out for them in Oakland.<|endoftext|>The fact that there are no female superheroes makes sense to me. The female superheroes have traditionally been
 ",A,3,4,,A,3,4,,A,3,4,,,,,,,,,,,,,11_152_337
"Prior to this week, the only way to get one of these devices was through a third-party seller. The only way to get one of these devices was through a third-party seller.
 This week, Apple is finally offering the company's latest iPhone 8 with Touch ID, along with the new Apple Watch Series 7 and a few other features.
 While it was announced back in October at WWDC, we still weren't able to try these phones out. However, Apple did reveal several new
 ","Prior to this, the company was known only for producing the first two-year contracts for the United States military.

But this is a different kind of contract. One in which the U.S. government can actually pay for a project.

The idea is to use the power of electricity to produce electricity and then store this energy.

A new way of thinking about energy",Neither,3,3,,Neither,3,3,,Neither,3,3,,,,,,,,,,,,,36_841_238
"The issue focused on the way that the police use their authority to detain individuals who are suspected of committing crimes. The court concluded that the police must be able to identify and detain suspects without unreasonable searches, as this would protect against the unreasonable seizure of innocent individuals' property.

In the United States, the police department does a lot of work to keep citizens safe from crime. They use a","The issue focused on the use of data to inform policy decisions.
 A study released Monday shows how the data science industry and government can be partners in shaping the future of health data collection and analysis.
 The research, conducted by Stanford University's School of Health Policy, looked at the research community's use of data science, data science research tools, data science research tools and data science research tools in the United States.
 The research was funded by the National Science Foundation, Microsoft Research, and the Microsoft
 ",B,4,3,,B,4,3,,B,4,4,,,,,,,,,,,,,56_388_323
"The central theme of the book is that we are being lied to by our politicians. It's not just the fact that we are told what we should believe but also that we are being deceived to the point that we no longer have a choice.
 This book has been praised for its honesty, its fact-based approach (there is no such thing as ""facts""), and its research on what actually motivates politicians to lie. As I read through this volume (and I'm sure others will too!), I
 ","The central theme to this article is that there's no such thing as a perfect human body, and that the only real way to determine what kind of human is best is to test a lot of human body parts. I've spent some considerable effort testing different parts of the human body.

There's not much to the study, but it does have some interesting results that might lead you to",B,5,4,,B,5,4,,B,4,4,,,,,,,,,,,,,29_219_172
