"From files:neg_pickles/sentiment_2_R.p,neg_pickles/sentiment_2_A.p,  neg_pickles/sentiment_2_R,B.p, neg_pickles/sentiment_2_A,B.p",,,,,,,,,,,,,,,,,,,,,,,
A,B,Which passage is more negative?,How fluent is the passage of A?,How fluent is the passage of B?,North,Which passage is more negative?,How fluent is the passage of A?,How fluent is the passage of B?,prabha,Which passage is more negative?,How fluent is the passage of A?,How fluent is the passage of B?,Stephen,,,,,,,,,,
"The movie will also feature a new storyline, as the series will be rebooted, with a new cast of characters and a new director.

According to EW, the film will take place 20 years prior in the year 2026 when an asteroid slams into","The movie is a flop. The movie is a total flop.

That's what I'm told when I ask about the movie that was made for the 2011 Academy Awards. The movie is an abomination, and its star, Ryan Reynolds,",B,5,3,,B,4,3,,B,3,3,,,,,,,,,,,36_704_317
"The lake at the edge of the lake in the center of the map shows how the lake is changing. (Courtesy of the National Park Service)

There isn't much to talk about on Lake Champlain — it's just a lake that sits atop the","The lake at the edge of the lake in the center of the map shows how the lake is changing. (Courtesy of the National Park Service)

There isn't much to talk about on Lake Champlain — it's just a lake that sits atop the",neither,4,4,,neither,4,4,,neither,2,2,,,,,,,,,,,30_642_372
"The chicken industry's annual earnings have been falling since 2007.

The latest data shows that US chicken sales have fallen 3% this year to $1.8 billion, with China and Europe the largest markets for the poultry industry worldwide and China being the world","The chicken is cooked in oil and then roasted in water until tender and crispy.

The sauce is made from a combination of soy sauce, brown sugar and chili flakes.

The dish is served over rice, which can be served cold or hot.",A,5,4,,A,4,4,,A,3,5,,,,,,,,,,,7_434_252
"The city of Los Angeles is taking a big step in the right direction with a new ""L"" logo.

The city of Los Angeles is taking a big step in the right direction with a new ""L"" logo.

The city of Los","The city of Portland, one of the most economically depressed parts of the country, is trying to get the money it needs to stay alive by closing a few shops.
A shop in the city's downtown core has been closed by the city government, and that",B,1,4,,B,1,3,,B,2,3,,,,,,,,,,,41_549_419
"The president of the country's largest university is calling on the university to remove a statue of a Nazi-era leader from the campus grounds.

""It is the most abhorrent thing I have read in a long time,"" said the Rev. William J. Barber of","The president of the country's biggest university was arrested and charged Monday in connection with an alleged child pornography investigation, a university spokesman said.

""The University of California, Irvine is cooperating with the U.S. Attorney's Office to determine who is responsible for an alleged",both,5,5,,both,4,5,,both,2,5,,,,,,,,,,,11_449_224
"The painting of a man with a knife is one of the more famous examples of ""painting the living dead.""

The ""painting,"" as it has come to be known, was done on a wall of the home where the artist was living,","The painting, of a woman and a man, was found in a garbage can. Police have not yet identified the artist.

""We have no information that it was the work of a person with a history of violence,"" police said.

The",B,4,5,,B,4,4,,neither,5,4,,,,,,,,,,,3_460_617
"The pizza box is the most awesome invention in the history of humanity.

It's a plastic, paper, disposable, garbage-pile-pile of junk and garbage you can pop into a box and throw away, and it works like magic!","The pizza is served with a crust made from a combination of flour, water and cheese, and topped with a fresh basil and olive oil.

I have been craving this basil pesto for some time, but I always had a hard time finding any,",A,3,3,,A,3,4,,neither,2,2,,,,,,,,,,,1_657_384
"The painting was painted over a year ago, but the original is still intact in a safe in the museum. It had been stolen from the museum by someone who believed it was a masterpiece.

It depicts four women, each holding hands with two fingers extended","The painting, of a woman and a man, was found in a garbage can. Police have not yet identified the artist.

""We have no information that it was the work of a person with a history of violence,"" police said.

The",both,4,5,,both,4,4,,neither,4,4,,,,,,,,,,,3_406_733
"The book ""The Myth of the Rational Voter"" is an attempt to refute this claim.

The book begins by noting that the Republican Party has become much bigger than it was 20 years ago because it adopted policies that have led to massive voter suppression efforts in","The book's description was so bad it was terrible, and the author didn't have the balls to even try to write it. The book was written by an illiterate, stupid woman who had absolutely zero talent whatsoever. The author's description was such poor writing",B,5,3,,B,5,4,,B,4,3,,,,,,,,,,,15_580_695
"The chicken industry's annual earnings have been falling since 2007.

The latest data shows that US chicken sales have fallen 3% this year to $1.8 billion, with China and Europe the largest markets for the poultry industry worldwide and China being the world","The chicken soup aisle is packed with chicken crap. That fact makes us sick.

But there are some foods, like the canned and frozen garbage that has gone missing or the rotting garbage on the curb that you can eat for lunch. But the problem is",both,5,4,,both,4,4,,both,3,2,,,,,,,,,,,7_538_263
"The city of St. John's is facing criticism for its response to an outbreak of syphilis that has killed nine people. A report on the city's response to the epidemic by the health department says health officials are ""too slow to act and too slow to","The city of Los Angeles is taking a big step in the right direction with a new ""L"" logo.

The city of Los Angeles is taking a big step in the right direction with a new ""L"" logo.

The city of Los",A,4,1,,A,3,1,,A,5,2,,,,,,,,,,,41_366_157
"Once upon a time, when the first generation of computers could only be bought with cash, you needed to go to a store to get your computer or tablet.

But these days you have to go online to buy anything, including music, TV channels, games and","Once upon a time, the United States and Russia had an economic partnership.

A decade ago, the two countries had an economic partnership, the two countries were on good terms and the two were on a good path in relations, said Vladimir Kuzmin, who",neither,4,5,,neither,5,4,,neither,4,3,,,,,,,,,,,23_872_845
"The city is hoping to have the project completed by the end of next year.

The project is part of a new development called South Shore.

The project, designed to create a mixed-use district, includes two office buildings along the banks of","The city of Portland, one of the most economically depressed parts of the country, is trying to get the money it needs to stay alive by closing a few shops.
A shop in the city's downtown core has been closed by the city government, and that",B,2,4,,B,2,3,,B,4,3,,,,,,,,,,,41_300_363
"The president of the country's biggest bank has said that the UK is the ""worst country in the world"" with ""the most dangerous"" banking sector.""The UK, the United States, Canada, Australia, New Zealand, Ireland, Germany, France and Singapore are the worst","The president of the country's largest university is calling on the university to remove a statue of a Nazi-era leader from the campus grounds.

""It is the most abhorrent thing I have read in a long time,"" said the Rev. William J. Barber of",A,3,5,,both,4,4,,both,4,2,,,,,,,,,,,11_734_139
"The horse is not the first animal to be considered a ""feral"" animal. But the notion that they are somehow ""inhumane"" is so far removed from reality that we're still talking about them in the media today, as the American Humane Association points","The horse is dead. And it's going to die fast. This horse was not a healthy horse to start off the season, but he's still got some tricks left in his repertoire.

The Kentucky Derby is not only the biggest horse race in the",B,4,3,,B,4,4,,B,5,1,,,,,,,,,,,13_59_826
"The horse race of politics is about to get a lot more interesting.

A new poll released on Wednesday shows a majority of Americans are worried about the future of the Republican Party. A whopping 60 percent of Americans, or 52 percent, say they are concerned","The horse is the most important animal in a horse's life. It gives them life. If you have a horse, it will give you life. If you don't have a horse, it can't give you life.

It's important that you",both,3,2,,both,3,3,,A,3,1,,,,,,,,,,,12_746_776
"The book is written by David W. Satter, and is available in paperback and paperback and ebook formats from Amazon and iBooks.

In the aftermath of the Great Recession, most Americans are living beyond their means and the financial system is in shamb","The book is a great, and you get the point of it. The point is that people are idiots and they're not very smart.
The government has no power over us or our bodies, no authority over the way we are or how we are supposed",B,2,4,,B,3,4,,B,2,4,,,,,,,,,,,16_598_579
