"From files: pickles/space_pickles/space_A,B.p, greedy_bow_results.json",,Which passage is more topic relevant?,How fluent is the passage of A?,How fluent is the passage of B?,Raymis,Which passage is positive?,How fluent is the passage of A?,How fluent is the passage of B?,Shannon,Which passage is positive?,How fluent is the passage of A?,How fluent is the passage of B?,Hayley,,,,,,,,,,,,
"Emphasised are the two most common and significant factors for the development of depression in patients with bipolar disorder, but there are other factors that are important and potentially important for patients with bipolar disorder and depression. The main focus of the paper is not on any single factor, but the relationship between a series of factors, such as age, gender, family status, education, employment and social network, and whether there is a particular risk of the development of depression or whether other factors are involved, particularly those that may increase risk
 ","Emphasised are the words of Jesus Christ. They were written in the New Testament. They are not the work of Satan.

The Bible tells us that Christ died on the cross, and that He ascended to heaven, but we know little of the details. He is also known to have been the first to die and was a man. He was the creator of the universe but the",Neither,3,2,,Neither,3,4,,Neither,3,4,,,,,,,,,,,,,41_153_306
"Furthermore, we are not sure how well this will affect the future growth prospects. We are not aware of any other large country such as the USA which has such strong economy and population growth rates, but we expect that the USA is the most important space-based planet, and it is in space.

We will have an interplanetary space station. We will build the first space station","Furthermore, in the case of the US, ""we will continue to engage and encourage them in their efforts to address the threat posed by terrorism,"" Mr Tillerson said.
 ""And I can say that we will continue to do so as they seek to bring these threats under control. That is what I am going to emphasize.""
 The US has been engaged for years and has provided military assistance and equipment since 2006 to help Iraqi forces fight Isis militants across northern Iraq.
 Shape Created with Sketch.
 ",A,4,4,,A,3,4,,A,4,3,,,,,,,,,,,,,24_174_29
"The central theme of this week's episode is the importance of the ""big picture."" The episode begins with the opening scenes of two major cities, and the first two episodes are a bit of a tour de force, a tour that weaves together a few different themes, each one in its own way. As one of the main characters travels through space to reach the moon, he meets up with","The central theme of our new series The Great Recession is that it didn't happen.
 We don't mean to say that the economy is doomed. We are trying to understand why it failed to do what it was supposed to do. And, as we have been doing, we have been looking for ways to understand the causes, and perhaps to improve them.
 This time, we will look at the reasons that the Great Recession started the way it did, and we will examine some of the ways in
 ",A,5,4,,A,4,4,,A,5,4,,,,,,,,,,,,,27_710_233
"To review, we are a group of friends who have recently been working together as a group. We're looking for a good team member who is flexible and easy going with others. You'll learn a lot about yourself and the environment, and you can help the Earth by being a good citizen. You will be able to learn more about the Earth and the universe, how it works, the solar","To review, I had a good day at a coffee shop and got to chat with an amazing customer who is a great friend. We talked about our experiences working at different companies and we discussed the many different ways you can help.
 We then talked about what we thought would be a perfect way to make it work. After talking a little about it, I realized we would need to make it happen with some sort of donation. To make this idea happen we decided to use our business cards and create these amazing
 ",A,4,4,,A,4,4,,A,5,4,,,,,,,,,,,,,15_730_743
"It has been shown that a high intake of carbohydrates can cause an increase in blood glucose levels and decrease insulin resistance in mice. A study by a group of investigators at the Department of Nutrition at the University of California, San Francisco, showed that consuming a low fat diet, which is high in fat and cholesterol, for 12 weeks reduced the blood glucose levels and decreased insulin resistance in mice. The low fat diet also increased the number of fat-derived insulin-producing cells in the liver and the insulin sensitivity of the mice.
 ","It has been shown that in the human retina the amount of photoreceptors in the eye increases with increasing light levels and decreases with dark levels. However, this process has yet to be investigated. The results from experiments on the retinal surface of human and rat eye have provided a window into a complex system of inter-dimensional space in a way that has never been accomplished before. The universe",B,3,4,,B,4,4,,B,4,3,,,,,,,,,,,,,51_815_562
"Foundational to this is the fact that in every single one of the worlds we've ever lived in we've had to deal with an alien force known as the ""Godhead"". These entities were responsible for all of space and time, creating everything in existence and even creating the sun and moon. This is why we have planets orbiting the sun, and why we exist in space. We're all","Foundational to this is the question of ""how did a society with no central authority figure come to be?"" It is a question that is worth pondering as one considers the evolution of social systems over the last two thousand years. It is a question that is particularly pertinent with regard to modernity, given the increasing power of the state within modernity.
 The question ""what did society need in order to evolve?"" arises from the fact that there was always something lacking when it came to an overarching central authority figure to
 ",A,4,4,,A,4,4,,A,3,5,,,,,,,,,,,,,13_410_293
"Emphasised are the strengths, weaknesses and opportunities that will be provided by the project.
 In this case, the key points are:
 The project is in its earliest stages
 The work will be carried out in two stages
 The project is a high-volume business
 The project is an early stage, with limited resources
 The project involves the use of a large number of people
 The project is an early stage, with the potential to create substantial value
 The project
 ","Emphasised are the key differences between the two.

One important feature of the new model is that it's built with a new aluminium and carbon body. The aluminium chassis has been strengthened to resist the elements and is also reinforced by a titanium frame, which is the same material as the one used in the McLaren MP4-12C. The aluminium space suits are designed for space,",Neither,5,4,,B,2,4,,B,2,4,,,,,,,,,,,,,39_413_780
"Emphasised are the effects of the various types of training programmes, and also the effect on the overall strength levels of the group (Table 1 and Figure 2). For this analysis, we use the same training set as reported by the authors in the text, and the training set was created using the following procedure:

- Place a space between two adjacent points on the map ( 0 0","Emphasised are the words of the Bible and a detailed study of their usage by the church in its history.
 The book also contains an introduction by Professor James G. White, professor of the history of religion at the University of Chicago.
 He says that ""God is a loving, loving, loving God, which means to me is to have a loving relationship with His children as well as His creation"".
 The Bible is an authoritative guide which explains to us what God wants us to believe and
 ",Neither,4,4,,Neither,3,2,,Neither,5,3,,,,,,,,,,,,,40_396_81
"The connection between a man's sexual orientation and his mental health is complicated by a lack of research on sexual orientation in the general population; the vast majority of researchers studying mental health believe it exists, but no evidence has been forthcoming.
The U.N. climate-change conference in Paris will be a major turning point in the world's relationship to space. It will mark the first time a","The connection between the two is so strong, it's almost impossible to ignore. The two men have been at each other's throats since before they met on the streets of Los Angeles in the early '60s. But the two men have never quite gotten over their differences — and the rift is now more intense than ever between them, as the world's media continues to focus on the ongoing feud between Kim Kardashian West and Kanye West over their marriage — even though Kardashian has been married to Kanye since 2005 (the
 ",Neither,4,3,,Neither,4,3,,Neither,4,4,,,,,,,,,,,,,11_152_337
"Prior to this week, the only way to get one of these devices was through a third-party seller. The only way to get one of these devices was through a third-party seller.
 This week, Apple is finally offering the company's iPhone 7 Plus with Touch ID, along with the new 64GB version with 256GB of storage. The two versions come on for $649 and $699 on Verizon and AT&T, respectively (they cost slightly more on AT&T). Both phones will
 ","Prior to this, the company was known only for producing the first two of the iconic cars: the Ford Thunderbird and the Chevy Nova, and the first Ford Falcon to compete in an international series.

The company was formed as a joint venture between Ford and GM in the early 1960s, when the latter began working on the Saturn V space space rocket, a program that would eventually land",Neither,2,3,,B,4,3,,B,5,3,,,,,,,,,,,,,36_841_238
