"From files: pickles/legal_pickles/legal_A,B.p, greedy_bow_results.json",,Which passage is more topic relevant?,How fluent is the passage of A?,How fluent is the passage of B?,Shannon,Which passage is positive?,How fluent is the passage of A?,How fluent is the passage of B?,Raymis,Which passage is positive?,How fluent is the passage of A?,How fluent is the passage of B?,Hayley,,,,,,,,,,,,
"Emphasised are the two most common and significant factors for the development of depression in patients with bipolar disorder, but there are other factors that are important and warrant further investigation. The aim of this article is to review the evidence of these different influences in order to provide a framework to understand the different mechanisms involved in the pathogenesis of the clinical symptoms of bipolar disorder. A brief introduction will be given to the evidence in order to allow a more accurate understanding of how and why these different mechanisms are implicated in the pathogenesis of
 ","Emphasised are:

1. An explanation of the principles on which this case law and the law of torts is based and the consequences of an act that is not reasonable, and

2. The legal requirements under which liability arises under this case law.

The law of liability

In the first section, the court explains the laws relevant to liability arising under this",B,4,4,,B,3,3,,B,4,4,,,,,,,,,,,,,41_153_306
"Furthermore, as the government seeks to restrict freedom of speech, the right to freedom of speech has been under assault throughout this case. The Government asserts that the First Amendment requires a showing of a genuine concern over the content of speech. But this is a question of law, not fact, and the Court of Appeals erred in its analysis. In this case we have a First Amendmnt challenge","Furthermore, in this case, the evidence of fraud is far greater than fraud in other areas of law. The court has found evidence that fraud was committed by the defendant in other legal proceedings, in the case of fraud and forgery. In this case the evidence was evidence that the defendant engaged in fraud. The court has ruled that the evidence of fraud is evidence that fraud was committed in law court cases where fraud may have taken place or where fraud might have resulted from fraud. In other instances fraud might well have
 ",Both,4,3,,Both,4,3,,Both,4,3,,,,,,,,,,,,,24_174_29
"The central theme of this article is ""how to do your job as an employer in Canada."" While employers in other parts of the world can hire foreign nationals on a temporary basis without the need for the employer to obtain the employer's authorization in Canada, in Canada an employer may require the permission of the Immigration Minister for an employee to travel abroad to participate in work. The law provides several mechanisms for","The central theme of our work was how to create the most efficient system for managing the world's resources.
 In our case, that would involve using data, rather than rules or rules alone, to manage all the resources. In this article, we will see that the most efficient system is to use rules.
 Rule-based Systems
 We will first examine two rules-based systems. In the first system, each resource is owned by a single person:
 Rule A: All resources are
 ",A,2,2,,A,3,2,,A,3,3,,,,,,,,,,,,,27_710_233
"To review, it was in the summer of 2014. In his first major speech to Congress, Mitt Romney was going to declare that the United States had entered the second stage of bankruptcy, a term that would mean ""that our federal debts will run up to the amount of our obligations and that all debt incurred during the previous 12 months will become due immediately and payable on demand. We shall have no","To review, I will use a case study. It is an interesting case study of the case law on the law of contract in legal ethics. In order to understand what I mean, let's go to the case law of the law of contract:
 The case law says the law will be applied to the case of theft (a contract). In order to prove theft, we will need evidence that someone stole property from us. To prove theft we need proof (or evidence to support theft). To demonstrate theft
 ",B,4,3,,B,4,3,,B,2,3,,,,,,,,,,,,,15_730_743
"It has been shown that a high intake of carbohydrates can promote weight gain, but what about protein and fats? In case you are wondering, a recent study conducted in China showed that subjects consuming high protein diets had more body fat, higher levels of cholesterol and insulin resistance, and a higher risk of developing diabetes and type 2 diabetes.
 In case you are wondering, a recent study conducted in China showed that subjects consuming high protein diets had more body fat, higher levels of cholesterol and insulin resistance, and a higher risk
 ","It has been shown that the brain is capable of storing and retrieving mental data, including memories. The brain also has the capacity to store information that it is not able to store itself.

In the case of the ""Bible,"" the Bible has a ""memoir"" section with the words ""I have written down"" and the words ""the book is written by God."" The Bible",Neither,4,3,,Neither,4,3,,Neither,3,4,,,,,,,,,,,,,51_815_562
"Foundational to this is a very interesting question: Why is there a need to have a universal currency? It's not as if we don't have a lot of currencies in existence today, like the U.S. dollar, the British pound, the French franc and the Canadian dollar.

The United Nations and many governments have established national currencies, and the United States, the world's","Foundational to this is the case of the law of the jungle. It will not stand; it will not stay. A law of the jungle will never stay and will never stay. It will stay, and it will stay until it is dead. The law will stay until all lawlessness and lawlessness will have been eradicated. That law is lawlessness. The law will stay until lawlessness will have been abolished and justice will have been restored. It will stay till justice will be restored to justice and justice will be
 ",B,4,3,,B,4,3,,B,4,3,,,,,,,,,,,,,13_410_293
"Emphasised are the differences of opinion among law enforcement agencies and law enforcement agencies and law enforcement agencies on the use of force in law enforcement.
 The following is a summary of opinion by various law enforcement agencies in the United States on the use of force in law enforcement.
 The American Bar Association (ABA) will be holding law enforcement opinion sessions on the topic of law enforcement in law enforcement on May 13, 2014 in Washington, D.C.
 The following opinion will be offered by the
 ","Emphasised are: the importance of the individual's own self-determination, and the importance of self regulation, including a sense of responsibility for personal welfare and the environment, and personal responsibility for one's family and others' welfare; and a desire to be governed by law and justice

The right to a legal defence may be an essential right, particularly in criminal law and the rule of",Both,2,3,,Both,2,3,,Both,2,3,,,,,,,,,,,,,39_413_780
"Emphasised are some of the key differences between the two versions, with both requiring a minimum of two hours of training.

For example, it would take around eight hours of practice for someone to understand that there is a distinction between a person, or a body of a person, and a legal person, or an entity.

The legal person has the legal rights and duties,","Emphasised are the words of the judge and the jury. The jury will decide who will get justice in the case.
 In court the jury will decide if there was murder, manslaughter, or assault. The judge will make a finding of guilty or innocent. In court there will be testimony and evidence.
 The verdict will be announced in court.
 There will be a witness statement by both sides which will be read before the jury who will decide whether or not there was manslaughter or murder or assault
 ",Both,3,3,,Both,3,3,,Both,4,3,,,,,,,,,,,,,40_396_81
"The connection to the first movie is pretty much a non-issue, as you'll see. But what I did find was that there is a very small percentage of people in America that watch anime in a similar way.

This is the first part of a three part series exploring the role of the internet in the creation or preservation of art forms and the history of the art forms as they","The connection between the law of gravity and the law of attraction has been studied for thousands of years. The law of gravity is one of the fundamental principles that explains how the Earth's gravitational field is created. It was discovered in the 17th century by Johannes Kepler as he searched for the gravitational field of a gas in the Milky Way. The law of gravity is based on the laws of classical mechanics and Newtonian dynamics. In order for an object with mass equal to the mass of the universe to exert gravitational force
 ",Neither,4,4,,Neither,4,4,,Neither,4,4,,,,,,,,,,,,,11_152_337
"Prior to this week, the only way to get one of these devices was through a contract with Samsung. The company's contract with HTC requires you to buy one for $300. The device's name, then, was simply a case of ""HTC One."" It will likely be a minor case, with the company not releasing any more details.
 The HTC One will likely be available on Verizon Wireless for Sprint customers and will retail for $399 for AT&T. Both contract carriers will sell both devices
 ","Prior to this, we were able to build a system in which we can build and deploy the same application multiple times. In the following examples, we have a client that wants the database to update automatically on a regular basis, and a server that will run the application and send back the database.

The following is a partial specification of the data structure used to represent the state of our application",Neither,4,4,,Neither,3,4,,A,4,4,,,,,,,,,,,,,36_841_238
