"From files: politics_pickles/politics_R.p, politics_pickles/politics_A.p, politics_pickles/politics_RB.p, politics_pickles/politics_A,B.p",,Which passage is more topic relevant?,How fluent is the passage of A?,How fluent is the passage of B?,Zakk,Which passage is more topic relevant?,How fluent is the passage of A?,How fluent is the passage of B?,Ethan,Which passage is more topic relevant?,How fluent is the passage of A?,How fluent is the passage of B?,North,,,,,,
"<|endoftext|>An illustration of the proposed $1bn US project to rebuild a $10bn power grid in southern Africa by 2018.

An international team of engineers and experts is developing a plan to create a power supply system for Africa, which has been left to the hands of the grid for decades.

The US and the African countries of Guinea-Bissau and Sierra Leone have been struggling","<|endoftext|>An illustration of a supernova in the constellation Aquarius, showing the location of the explosion, and the supernovae of its star. Credit: NASA, ESA, and A. M. Koczul

Astronomical astronomers have found that the supernova in the night sky was a supernova.

""The supernova in our galaxy is called Type I and the",A,4,3,,A,2,1,,A,4,5,,,,,,,19_131_633
"<|endoftext|>An illustration of the first generation of solar cells, which are capable of storing more energy per pound than traditional batteries. Credit: University of Maryland, College Park

Solar electricity production will reach a record high by mid-century thanks to a surge in the amount of power produced from new technology, according to a research paper.

The report, commissioned by solar power producer SolarWorld, says","An illustration of a supernova in the constellation Aquarius,",B,4,3,,neither,4,1,,neither,4,2,,,,,,,18_389_15
"<|endoftext|>To summarise, a number of the major features that are present in this project are: a user interface based on an open source design philosophy (open source design in the public sector); a robust and modern state of the art infrastructure (high-speed, high bandwidth transport and communications networks); an efficient, state-of-the-art government; a vibrant and vibrant economy that is responsive to","<|endoftext|>To summarise, the data shows that there is a strong positive correlation between high and low levels of stress in both men and women. The correlation is not as strong for male athletes but does remain high in both genders. It is unclear whether the correlation is because men's performance is affected by higher or lower levels of stress than is true for women, or whether it reflects the effects of higher and",A,4,4,,neither,3,4,,neither,3,4,,,,,,,6_271_178
"<|endoftext|>In brief, a ""super-sized"" (super-fast) version of Bitcoin will be released in the near future, according to a new report. This will not include a Bitcoin Core (or any other version of Bitcoin) client, but will instead include a software upgrade to the Bitcoin software. This ""super-sized"" Bitcoin client is said to be a ""very fast"" version of","<|endoftext|>In brief, a ""non-profit corporation"" means a person or company that receives income from the sale of goods and services by another, and that is exempt from taxes under the Internal Revenue Code.

The IRS tax code requires a non-profit corporation to file tax returns, which it may make in person or by mail. Tax forms and return forms that a business tax return or tax",neither,4,4,,neither,4,4,,neither,4,4,,,,,,,45_308_871
"<|endoftext|>The issue focused on an alleged violation of federal laws on the sale of alcohol and tobacco. But the lawsuit alleges the state also violated state and federal laws by denying people in the program benefits.

The lawsuit also alleges that state officials discriminated against those who were already receiving government benefits for their own financial benefit — including food stamps, unemployment insurance and child benefits. The state also has been fined more","<|endoftext|>The issue focused on a single section of the legislation. It's unclear why the legislation was amended, but the change to the law could impact the future of the law and the state's $2.7 million in tax revenue.<|endoftext|>In addition to being the best-known of the three, the second-best-known, and a major player in the field of research into genetic regulation of",B,4,3,,both,3,2,,both,4,3,,,,,,,10_751_705
"<|endoftext|>Foundational to this is a belief in the ability of a person to change their own mind. This is a belief which, as I have pointed out, is a very useful thing to be able to believe when we are dealing with a person. This belief is not an absolute. It can be undermined, and in the case of a belief based on experience, one might be able to get the","<|endoftext|>Foundational to this is a belief system, the belief system of the human spirit. It is this belief system which is most important to the survival and prosperity of our nation.

As the founder of the American Dream, the dream is one of freedom, of prosperity and of freedom itself. It is a system of government based upon the rule of law, liberty, equality of opportunity, equal",B,3,2,,B,4,3,,B,3,3,,,,,,,26_120_81
"<|endoftext|>To conclude, I would like to share with you the following observations about the current political situation in Syria.

First, the political opposition, the so-called moderates or secular opposition and the Syrian government have been unable to unite around a coherent political program that can be implemented by the Syrian people and by the Syrian opposition, which is the most powerful institution in politics in Syria. The only political","<|endoftext|>To conclude, we should note that there are some very interesting differences between the current state and the previous ones, and we should also point out that this analysis was done with an incomplete set of data. We will discuss how these differences relate to the present state of the state of public opinion in this article as well as in the rest of this series as a whole.
I've spent the best",both,4,4,,A,4,4,,both,5,4,,,,,,,12_793_399
"<|endoftext|>Emphasised are the following areas of concern:

Achievements and progress on the agenda of the conference

The impact of climate change in the UK and internationally and its impacts on the UK and global economy

Economic opportunities

International political leadership

Globalisation

Achievements to achieve by the UK and the international community on these themes

The UK and","<|endoftext|>Emphasised are the differences between the various forms of the term 'fetus'.

The distinction between the two forms is important, but there are differences as well. It should be kept in mind that the term 'fetal tissue' as used in the UK is not necessarily used in this context (although it has been for many years). Instead, when we mean a tissue within the",both,3,4,,both,2,4,,both,2,5,,,,,,,21_449_764
"<|endoftext|>Views on a woman's right to privacy are growing. But there's still a big question on the table, one that could impact the entire issue of how people are allowed to be on the internet, the court said.


Justice Ruth Bader Ginsburg on the right to be left alone. (Photo: J. Pat Carter, Getty Images) Story Highlights Opinion justices will rule
","<|endoftext|>Views on a new poll that shows Hillary Clinton beating Donald Trump on the issue of guns by a wide margin are not based on reality, a former Obama aide said Tuesday night.

""I don't see this as a reality, I see it as a fantasy,"" said John Podesta, a longtime Obama aide who now heads up Priorities USA Action, a pro-Clinton super PAC.",both,5,4,,both,3,4,,both,4,4,,,,,,,43_377_58
"<|endoftext|>This essay discusses the history of the modern art of writing, focusing particularly on the development of ""literary realism."" It begins with the emergence of a new genre of poetry called modern poetry and its relationship to early modern literature, culminating in the Romantic movement. It then turns to the development of a literary tradition in France during the nineteenth century, and on to the emergence of modern literary criticism, which","<|endoftext|>This essay discusses the history of the concept of the ""American exceptionalism,"" the relationship that America has with other countries in the world, as well as the role of nationalism within American politics and public policy. It argues that the notion of the exceptional state and its political and economic consequences is not a concept that can exist independently. As the state is an institutional form that can change its political, economic",B,3,4,,B,4,4,,B,5,3,,,,,,,3_460_617
