"From files: pickles/sentiment_2_pickles/sentiment_2_A,B.p, greedy_sent_results.json",,Which passage is positive?,How fluent is the passage of A?,How fluent is the passage of B?,Raymis,Which passage is positive?,How fluent is the passage of A?,How fluent is the passage of B?,Shannon,Which passage is positive?,How fluent is the passage of A?,How fluent is the passage of B?,Hayley,,,,,,,,,,,,
"The country's largest indoor painting event!


Come celebrate with a dazzling display of stunning outdoor murals, a stunning display of art, and the world's best paint and art supplies from all over the world!

The 2018 Art of Painting at the","The country's top court on Tuesday ruled the National Security Agency (NSA) can collect phone records for all US citizens.
 The ruling came after the US Supreme Court rejected a petition by a group of privacy activists seeking a stay on the NSA's bulk collection
 ",A,4,5,,A,4,4,,A,4,4,,,,,,,,,,,,,7_168_95
"The country's first fully immersive immersive experience featuring a cast of award-winning actors will begin shooting this summer.

The story, titled The Art of War: A Journey into World War II, is a unique blend of art, cinema, drama, interactive","The country of Israel, which was founded on the principle of equal rights for all, will be able to establish a Palestinian state in the West Bank and Gaza Strip.
 Prime Minister Benjamin Netanyahu's office released a statement on Wednesday evening that the move was in
 ",A,4,4,,A,2,4,,A,3,4,,,,,,,,,,,,,6_4_681
"The lake, which is the largest of its kind to the planet, was the first to use the power, an important achievement. For more than 50 years, the scientists, the students and the community have been using the powerful solar radiation to study how Earth's","The lake is now open.
 ""We have been working with our partners in the community to make this a success and we're pleased to announce it's open for business,"" said Mike Bostick, director of the city's Department of Parks and Recreation
 ",Both,4,4,,Neither,3,5,,Both,4,4,,,,,,,,,,,,,25_754_397
"The chicken was delicious – wonderfully moist, perfectly delicious, superbly fresh – and perfectly cooked. The only thing to say is that the sauce was excellent, and I think that the broth really complemented all of the other flavors. The best part was the sauce","The chicken is the best, and it is also the easiest to cook. The skin is tender and the skin is not too crispy and dry. It has a nice flavor and the texture of a skinless chicken breast.
 The meat is juicy and juicy
 ",Both,3,3,,Both,4,2,,Both,4,4,,,,,,,,,,,,,19_624_611
"The chicken-and-egg problem
 I've been asked a number of times recently about my views on the chicken-and-egg problem. I don't think that it is a problem, but that I think that we should be more concerned about the
 ","The chicken was delicious, the sauce was delicious. I was very impressed with this recipe and I will definitely be making it for dinner again when my wife and daughter are home!<|endoftext|>""It is our mission to serve the needs of the people,"" he said.",B,3,3,,B,4,5,,B,3,4,,,,,,,,,,,,,20_3_102
"The horse is one of the most beautiful creatures on the planet, and yet it is a common sight to see a great number of great artists that have never even seen a single one before, and they are usually quite stunning in their own right and have been admired","The horse is ready! It has been an exciting few weeks with the horse's new owner. The new owner is a very nice man, who is very well known in the horse world for his work with horse training and his passion for horses, as well.
 ",Both,2,4,,Both,4,4,,Both,2,4,,,,,,,,,,,,,42_538_857
"The pizza is a good idea, but I don't know what the hell to do when I'm hungry.
 I don't have the money to make it, but I can't wait to make it. I don't think I can wait for the
 ","The pizza is amazing. The sauce is soooooo good and the crust is fantastic. The dough is perfect in texture and taste. I will absolutely be back for more.<|endoftext|>""A wonderful piece of artwork, the workmanship and craftsmanship is outstanding.""",B,4,1,,B,4,4,,B,2,4,,,,,,,,,,,,,36_841_238
"Once upon a time, the world was a peaceful place where the beauty of nature filled you with joy and filled your soul with bliss.

You were a star traveller who lived and breathed adventure. Your life revolved around a wide variety of adventure opportunities that you could","Once upon a time, the world was full of people who were happy and healthy and happy to have fun.
 But now, we live in a world where people have to live in constant fear, and that fear is often the same fear that caused them to become
 ",B,4,2,,A,3,2,,A,4,3,,,,,,,,,,,,,28_606_33
"The painting of a man holding a gun in a dark room is a classic of the genre, but it's a painting that's been on display for nearly a century. The painting, which was created by French artist Claude Monet for the 1894 Paris Salon
 ","The painting is the most amazing gift I have ever received, a gift that, for me, I can never forget. I love it so much and it has been a very exciting time for the family. The beautiful and warm color is a great gift for me",B,3,4,,B,4,3,,B,3,3,,,,,,,,,,,,,1_213_246
"The movie is a very interesting, unique and powerful film, a true classic and it deserves more love and recognition.

The best film I saw in this genre is probably 'The Last Emperor' or 'The Godfather' because I feel they are the","The movie is a good movie, it's a good film, and it is a movie that has the potential to become a cult classic, but it's not the first time that a movie has been called ""a movie that will change the way we think.""
 ",Both,4,3,,Both,4,3,,Both,4,2,,,,,,,,,,,,,15_730_743
"The pizza was delicious! We ordered the pizza with the sauce and it was really good. It was a little bit greasy and a little salty. We will definitely be going again.<|endoftext|>The UESPWiki – Your source for The Elder Scrolls since 1995
 ","The pizza is delicious! It can be made a day ahead and it makes a great gift! Thank you so much for a wonderful experience! I will be using yours again soon!<|endoftext|>I am the first to admit that when I'm bored, I do have",Both,5,4,,B,5,4,,Both,4,4,,,,,,,,,,,,,38_501_894
"The last time the city's most iconic landmark was a great time of the year to enjoy a very spectacular and very important exhibition, with a very high level of quality and excellence. At first sight, it is a remarkable display of the most advanced techniques and techniques,","The last time the U.S. government gave a major foreign military base permission to use drones, it was in the aftermath of the 9/11 attacks.
 The decision was made by the State Department's Office of the Inspector General, and it was to
 ",Neither,3,5,,A,2,4,,A,3,4,,,,,,,,,,,,,40_396_81
