,"Toxicity (racism, sexism, obscene/offensive language)?",,,,,,,,,,,,,,,ID
[DATA REMOVED],No,,,,,,,,,,,,,,,351240557
[DATA REMOVED],Yes,,,,,,,,,,,,,,,342257084
[DATA REMOVED],No,,,,,,,,,,,,,,,51322370
[DATA REMOVED],No,,,,,,,,,,,,,,,53289964
[DATA REMOVED],Yes,,,,,,,,,,,,,,,361093442
[DATA REMOVED],No,,,,,,,,,,,,,,,852554436
[DATA REMOVED],No,,,,,,,,,,,,,,,17544285
[DATA REMOVED],Yes,,,,,,,,,,,,,,,851808878
[DATA REMOVED],No,,,,,,,,,,,,,,,512169922
[DATA REMOVED],No,,,,,,,,,,,,,,,362169929
[DATA REMOVED],Yes,,,,,,,,,,,,,,,691865978
[DATA REMOVED],No,,,,,,,,,,,,,,,52955664
[DATA REMOVED],No,,,,,,,,,,,,,,,853193471
[DATA REMOVED],No,,,,,,,,,,,,,,,683241636
[DATA REMOVED],No,,,,,,,,,,,,,,,682014057
[DATA REMOVED],Yes,,,,,,,,,,,,,,,1833457
[DATA REMOVED],No,,,,,,,,,,,,,,,351147077
[DATA REMOVED],No,,,,,,,,,,,,,,,86437043
[DATA REMOVED],No,,,,,,,,,,,,,,,682114121
[DATA REMOVED],No,,,,,,,,,,,,,,,17712664
[DATA REMOVED],Yes,,,,,,,,,,,,,,,342191663
[DATA REMOVED],No,,,,,,,,,,,,,,,19423028
[DATA REMOVED],No,,,,,,,,,,,,,,,521865949
[DATA REMOVED],No,,,,,,,,,,,,,,,86118649
[DATA REMOVED],No,,,,,,,,,,,,,,,17437021
[DATA REMOVED],No,,,,,,,,,,,,,,,19437035
[DATA REMOVED],No,,,,,,,,,,,,,,,342585399
[DATA REMOVED],No,,,,,,,,,,,,,,,172114122
[DATA REMOVED],Yes,,,,,,,,,,,,,,,512792864
[DATA REMOVED],No,,,,,,,,,,,,,,,533241629
[DATA REMOVED],Yes,,,,,,,,,,,,,,,35423099
[DATA REMOVED],Yes,,,,,,,,,,,,,,,523138035
[DATA REMOVED],No,,,,,,,,,,,,,,,851808856
[DATA REMOVED],Yes,,,,,,,,,,,,,,,341865985
[DATA REMOVED],No,,,,,,,,,,,,,,,192476036
[DATA REMOVED],No,,,,,,,,,,,,,,,681093484
[DATA REMOVED],No,,,,,,,,,,,,,,,69322350
[DATA REMOVED],No,,,,,,,,,,,,,,,681031314
[DATA REMOVED],No,,,,,,,,,,,,,,,852966121
[DATA REMOVED],No,,,,,,,,,,,,,,,863193415
[DATA REMOVED],No,,,,,,,,,,,,,,,862785777
[DATA REMOVED],Yes,,,,,,,,,,,,,,,69322335
[DATA REMOVED],No,,,,,,,,,,,,,,,192476021
[DATA REMOVED],No,,,,,,,,,,,,,,,86225199
[DATA REMOVED],No,,,,,,,,,,,,,,,872820270
[DATA REMOVED],No,,,,,,,,,,,,,,,68955699
[DATA REMOVED],Yes,,,,,,,,,,,,,,,523193428
[DATA REMOVED],No,,,,,,,,,,,,,,,852692492
[DATA REMOVED],No,,,,,,,,,,,,,,,51196642
[DATA REMOVED],No,,,,,,,,,,,,,,,531147084
[DATA REMOVED],No,,,,,,,,,,,,,,,693047498
[DATA REMOVED],No,,,,,,,,,,,,,,,181811450
[DATA REMOVED],No,,,,,,,,,,,,,,,8565343
[DATA REMOVED],No,,,,,,,,,,,,,,,87712615
[DATA REMOVED],No,,,,,,,,,,,,,,,53955670
[DATA REMOVED],No,,,,,,,,,,,,,,,682820249
[DATA REMOVED],No,,,,,,,,,,,,,,,85196636
[DATA REMOVED],No,,,,,,,,,,,,,,,192114157
[DATA REMOVED],No,,,,,,,,,,,,,,,872966121
[DATA REMOVED],No,,,,,,,,,,,,,,,351093450
[DATA REMOVED],No,,,,,,,,,,,,,,,19196663
[DATA REMOVED],No,,,,,,,,,,,,,,,532692485
[DATA REMOVED],No,,,,,,,,,,,,,,,872865491
[DATA REMOVED],No,,,,,,,,,,,,,,,513047464
[DATA REMOVED],No,,,,,,,,,,,,,,,351811442
[DATA REMOVED],No,,,,,,,,,,,,,,,701865984
[DATA REMOVED],No,,,,,,,,,,,,,,,871453463
[DATA REMOVED],No,,,,,,,,,,,,,,,702863821
[DATA REMOVED],No,,,,,,,,,,,,,,,8533415
[DATA REMOVED],No,,,,,,,,,,,,,,,862554428
[DATA REMOVED],Yes,,,,,,,,,,,,,,,182351464
[DATA REMOVED],No,,,,,,,,,,,,,,,3665398
[DATA REMOVED],No,,,,,,,,,,,,,,,521113036
[DATA REMOVED],No,,,,,,,,,,,,,,,362554422
[DATA REMOVED],No,,,,,,,,,,,,,,,532585343
[DATA REMOVED],No,,,,,,,,,,,,,,,53368092
[DATA REMOVED],No,,,,,,,,,,,,,,,6865391
[DATA REMOVED],No,,,,,,,,,,,,,,,531240598
[DATA REMOVED],No,,,,,,,,,,,,,,,851811449
[DATA REMOVED],No,,,,,,,,,,,,,,,182114163
[DATA REMOVED],No,,,,,,,,,,,,,,,862785792
[DATA REMOVED],No,,,,,,,,,,,,,,,342966192
[DATA REMOVED],No,,,,,,,,,,,,,,,701147015
[DATA REMOVED],No,,,,,,,,,,,,,,,532169998
[DATA REMOVED],No,,,,,,,,,,,,,,,532585370
[DATA REMOVED],No,,,,,,,,,,,,,,,701491443
[DATA REMOVED],No,,,,,,,,,,,,,,,512865485
[DATA REMOVED],No,,,,,,,,,,,,,,,1833428
[DATA REMOVED],No,,,,,,,,,,,,,,,871491498
[DATA REMOVED],No,,,,,,,,,,,,,,,692191698
[DATA REMOVED],No,,,,,,,,,,,,,,,182585328
[DATA REMOVED],No,,,,,,,,,,,,,,,362792815
[DATA REMOVED],No,,,,,,,,,,,,,,,871093499
[DATA REMOVED],No,,,,,,,,,,,,,,,352585378
[DATA REMOVED],No,,,,,,,,,,,,,,,522554415
[DATA REMOVED],No,,,,,,,,,,,,,,,691453443
[DATA REMOVED],No,,,,,,,,,,,,,,,17289928
[DATA REMOVED],No,,,,,,,,,,,,,,,523241649
[DATA REMOVED],No,,,,,,,,,,,,,,,352863870
[DATA REMOVED],No,,,,,,,,,,,,,,,683047428
[DATA REMOVED],No,,,,,,,,,,,,,,,34807221
[DATA REMOVED],No,,,,,,,,,,,,,,,51544235
[DATA REMOVED],No,,,,,,,,,,,,,,,682863885
[DATA REMOVED],No,,,,,,,,,,,,,,,852191678
