"From files: pickles/politics_pickles/politics_A,B.p, greedy_bow_results.json",,Which passage is more topic relevant?,How fluent is the passage of A?,How fluent is the passage of B?,Shannon,Which passage is positive?,How fluent is the passage of A?,How fluent is the passage of B?,Raymis,Which passage is positive?,How fluent is the passage of A?,How fluent is the passage of B?,Hayley,,,,,,,,,,,
"Emphasised are the two most common and significant factors for the development of depression in patients with bipolar disorder, but there are other factors that are important and potentially important for patients with bipolar disorder and depression. The majority of patients in bipolar disorder receive treatment for depression.
 A review of the literature suggests that:
 In a majority of patients with bipolar disorder, primary primary depression is the primary diagnosis;
 The majority of those with primary primary depression are female;
 A minority of patients with primary primary
 ","Emphasised are the key words used in the document and the key issues to be addressed in the draft.

Key words:

The Australian Government's proposed reforms to the Immigration and Nationality Act include:

the introduction of mandatory criminal record checks to reduce the numbers of people subject to immigration and national identity checks to protect the security of our community from terrorist and criminal gangs.",Neither,2,4,,Neither,1,3,,B,3,4,,,,,,,,,,,,41_153_306
"Furthermore, a recent study found that people in the US are more likely to support laws that make it harder to file for tax deductions if a business is in bankruptcy.

Mr Trump also pledged to ""get rid"" of the estate tax, and he has called for tax reform which he said was a ""disaster"".<|endoftext|>The government is facing fresh pressure to cut its tax burden after the","Furthermore, in this case, the court is concerned with what are known as ""preventable injuries"" and is not concerned with whether or not there has been any actual injury. For these cases, the court will order a court order that the defendant pay for any injury suffered.
 The court's order is to determine whether a court order is necessary to enforce or prevent an alleged violation of state civil rights statutes. In order for the court order to apply it must be based on facts that state there is
 ",Neither,4,4,,Neither,4,4,,Both,4,4,,,,,,,,,,,,24_174_29
"The central theme to the film is that people are dying.

The film opens with a scene of a family in a rural region, in an area dominated by an oppressive government and the state-owned industry. The family is poor, and the government does not provide food, water, or health services. It takes an army of thugs to keep the government in power, and the government itself","The central theme of these two papers was to demonstrate that the taxonomic structure of the order was highly variable, with some taxa having a very distinct taxonomic state. This taxonomic state might have a significant impact on taxonomy and taxonomic taxonomy may be an important taxonomic taxonomist. In order to do so, the authors used taxonomic taxonomism and taxonomy to compare taxonomy of taxa with taxa with no taxonomy.
 The authors examined taxonomism and tax
 ",Neither,4,3,,Neither,4,3,,Both,4,1,,,,,,,,,,,,27_710_233
"To review, a lot is being done with this issue, including the recent announcement of an ""open"" government, with a free vote in Parliament. The new government is also expected to make public spending more flexible, with the promise of cuts if necessary.

In a country as big and diverse as India, the public sector is the main employer, so public spending needs government control

","To review, I had a great time at a conference in Chicago last week (and it was great because I was in Chicago, which means that it was really hot). I've been thinking a lot about this conference for the last three years. I'm always happy that we've had a bunch of great conference speakers, and even less so for the ones that are actually bad. But I've never seen anything quite like this conference. So I thought we'd write something up. I'm glad you liked what we
 ",A,4,5,,A,4,5,,A,4,4,,,,,,,,,,,,15_730_743
"It has been shown that a high intake of carbohydrates can cause an increase in blood glucose levels and decrease insulin resistance in mice. A study by a group of investigators at the Department of Nutrition at the University of California, San Francisco, showed that consuming a low fat diet, which is high in fat and cholesterol, for 12 weeks reduced the blood glucose levels and decreased insulin resistance in mice. The low fat diet also increased the number of fat-derived insulin-producing cells in the liver and the insulin sensitivity of the mice.
 ","It has been shown that, if we are to consider the concept of self-consciousness, then, for the first time, the concept of 'the self' and its relationship to the other is at issue, the study says. This study examines whether there are differences in the way in which a person views the state of the U.S. government by state and party. Using national party",B,5,4,,B,5,4,,B,5,4,,,,,,,,,,,,51_815_562
Foundational to this is the concept of the human brain. The brain is a collection of cells which are interconnected across the entire length of the body. These cells communicate with each other through neurotransmitters and chemical signals. They also regulate the immune system and control the body's ability to recover from injury. The importance of the central nervous system for survival and reproduction is demonstrated by the fact that survival,"Foundational to this is the power of the state to make laws. This power is often called ""the power of the state"" (or ""the power of government""), but it is really the power to make laws. It is this power to make laws that gives authority to government to regulate, control and order the state.
 When government is made to act on its authority it has power to change people's beliefs and attitudes. This power allows government to regulate things such as how we eat, wear clothes or dress in
 ",B,4,4,,B,4,4,,B,4,4,,,,,,,,,,,,13_410_293
"Emphasised are the differences of opinion among political scientists about the impact of political ideology on the economy. A large majority of political scientists say that political conservatism is associated with lower economic growth while a minority say the opposite.
 A majority of political scientists say that political liberalism is associated with higher economic growth. A majority of political scientists are in favour of tax cuts for the wealthiest Americans.
 The majority of political scientists do not believe that tax cuts for the wealthy are likely to benefit average Americans, but do think
 ","Emphasised are the benefits of the tax cuts, and that they have helped reduce the deficit. However the government's spending cuts have had the opposite effect as they have led to greater tax increases.

The Tax Policy Centre has calculated that the tax cuts have increased the debt by £2.6tn since 2010.

It estimates that cutting tax revenues by £1.9tn",A,3,5,,A,3,5,,Both,4,4,,,,,,,,,,,,39_413_780
"Emphasised are the effects of the drug and the amount consumed, and they also show how the effects can vary between individuals, depending on the state of mind of the person taking the drug.

In the United States, a medical marijuana card is a state-issued ID card that allows patients to obtain up to two forms of medical marijuana (the medical and recreational states). It can be","Emphasised are the key words: ""The"" and ""the"", ""this"" and ""that"".
 The word ""the"" is important because it's used in all of these terms, and it's what makes the word ""the"" unique in its context. For example, when I say the government is ""taking action"" I don't mean that government has done anything. In fact, government does exactly what it's supposed to do — take steps towards reducing the deficit. When it comes to government
 ",Neither,5,3,,Neither,5,3,,Neither,5,3,,,,,,,,,,,,40_396_81
"The connection between the two sides of this issue will likely be a source of tension in the coming days. The administration's argument that it is a ""war on Christmas,"" a claim that is already being challenged, and that it is unconstitutional is a direct attack on the Constitution's guarantee of equal protection of law under the law. The Constitution provides a means for government to regulate the conduct of private business","The connection between the power of the Internet, its power to disrupt political parties, and the political power of the state is at an all-time low. The government and major political parties are in a state of panic about the power of the Internet and its potential political consequences in the state's political life. The state is scrambling to make use of the power of the Internet to counter this threat. It will need political parties and social movements to fight political parties with political power. It will need political movements with political
 ",B,4,3,,B,4,3,,Both,4,4,,,,,,,,,,,,11_152_337
"Prior to this week, the only way to get one of these devices was through a reseller or direct order. The only way to order one from Samsung or LG was by buying the Galaxy S3, or even just buying a new phone. The Galaxy Note 3 was available direct from the retailer, but the Note 3 was discontinued after a few months.
 Samsung has now revealed that you can order one directly via its website. However, you must order via Samsung's direct order service if you order via another
 ","Prior to this year, we had no idea that the government could actually spend more money and spend less on health care than it did in 2009, and the federal government spends less money than any other government in history. This is especially significant in terms of the federal government's budget deficit, which in 2009 was $9 trillion, or about 2.5 percent of GDP. It was more of a",B,4,4,,B,4,4,,B,4,4,,,,,,,,,,,,36_841_238
