"From files: pickles/sentiment_2_pickles/sentiment_2_A,B.p, openai_output_45.p",,Which passage is positive?,How fluent is the passage of A?,How fluent is the passage of B?,Raymis,Which passage is positive?,How fluent is the passage of A?,How fluent is the passage of B?,Shannon,Which passage is positive?,How fluent is the passage of A?,How fluent is the passage of B?,Hayley,,,,,,,,,,,,
"The country's largest indoor painting event!


Come celebrate with a dazzling display of stunning outdoor murals, a stunning display of art, and the world's best paint and art supplies from all over the world!

The 2018 Art of Painting at the","The country and citizens come together more and more to reunite. Accordingly, human two-party system makes it permissible to hold troops together, strengthen and defend their State. All other services to civil society (e.g., raising citizenship, training or managing welfare",Both,4,3,,A,4,3,,A,4,3,,,,,,,,,,,,,7_168_95
"The country's first fully immersive immersive experience featuring a cast of award-winning actors will begin shooting this summer.

The story, titled The Art of War: A Journey into World War II, is a unique blend of art, cinema, drama, interactive","The country needs to continue making strides to secure the opportunity for foreign investors, English speaking people, and Aboriginal peoples. Even though the U.S. budget is nearly $4 billion, and more than 180,000 endangered species are protected, it still revolves over",A,3,4,,A,2,4,,A,3,4,,,,,,,,,,,,,6_4_681
"The lake, which is the largest of its kind to the planet, was the first to use the power, an important achievement. For more than 50 years, the scientists, the students and the community have been using the powerful solar radiation to study how Earth's",The lake that proper wash should be used for. Bringing proper water usage to metropolitan parks will ensure that trail parking will remain within proper parking format. Haven Park has more small tree recreational points on each once reopened lake. Don't complain about catch conditions or trail conditions,A,4,3,,Neither,4,4,,A,4,2,,,,,,,,,,,,,25_754_397
"The chicken was delicious – wonderfully moist, perfectly delicious, superbly fresh – and perfectly cooked. The only thing to say is that the sauce was excellent, and I think that the broth really complemented all of the other flavors. The best part was the sauce","The chicken is needled to kings Luther and Calvin, and Bernard or Duane (both Jewish satire of the Jews and the Christian fields). Some believe that the song seems more of consolation, or that it means actually blessing God. The storm dance of around August",A,4,3,,A,4,4,,A,4,3,,,,,,,,,,,,,19_624_611
"The chicken market in Germany goes for up to 100 euros a week to feed healthy chicks. The idea for Korean foods also came to me from my grandparents' eating traditions. 'They want to bring inspirational food to mouths you can't reach,' I thought. '","The chicken was delicious, the sauce was delicious. I was very impressed with this recipe and I will definitely be making it for dinner again when my wife and daughter are home!<|endoftext|>""It is our mission to serve the needs of the people,"" he said.",B,4,3,,B,5,5,,B,4,5,,,,,,,,,,,,,20_3_102
"The horse is one of the most beautiful creatures on the planet, and yet it is a common sight to see a great number of great artists that have never even seen a single one before, and they are usually quite stunning in their own right and have been admired",The horse has a robust lion bone plate that protects her from the elements. Her upright temperament stems from her football form. A prized possession from any fantasy team is her deftness and general sweep. She trains for extra hour to get fast and clear. Her offspring,Both,4,4,,A,4,4,,Both,4,4,,,,,,,,,,,,,42_538_857
"The pizza can just get the job done. He doesn't have that urge. I just love the calmness. I love the quality, and I miss the little girl who's eating. I sat by the tree giving her her daily potatoes. It sounded beautiful","The pizza is amazing. The sauce is soooooo good and the crust is fantastic. The dough is perfect in texture and taste. I will absolutely be back for more.<|endoftext|>""A wonderful piece of artwork, the workmanship and craftsmanship is outstanding.""",Both,3,3,,B,4,4,,Both,3,3,,,,,,,,,,,,,36_841_238
"Once upon a time, the world was a peaceful place where the beauty of nature filled you with joy and filled your soul with bliss.

You were a star traveller who lived and breathed adventure. Your life revolved around a wide variety of adventure opportunities that you could","Once upon a time a younger brother is sneaking in and fucking you,1 you can figure it out by yourself. These forceful commands are very soft and vicious. If you stand tall enough, he can bounce in and out of you without your consent. Once you have used",A,3,2,,A,4,3,,A,4,3,,,,,,,,,,,,,28_606_33
"The painting, likely salami and the infected wound or both, came to a close, but nothing softened. """"God, this is interesting,"""" she said. """"This is amazing. That's really important. I'm so stoked to be touched by it.","The painting is the most amazing gift I have ever received, a gift that, for me, I can never forget. I love it so much and it has been a very exciting time for the family. The beautiful and warm color is a great gift for me",Both,4,4,,B,4,4,,B,3,4,,,,,,,,,,,,,1_213_246
"The movie is a very interesting, unique and powerful film, a true classic and it deserves more love and recognition.

The best film I saw in this genre is probably 'The Last Emperor' or 'The Godfather' because I feel they are the","The movie  chronicled Wild, and it has been watched as Hagan Annovas was an important Holiday show ringleader. Hagan called Wild's Big Day out on its DVD, and Jerry Peabody's production crew gave it a pass. """"I",A,4,3,,A,4,4,,A,4,4,,,,,,,,,,,,,15_730_743
"The pizza manufacturing is still expanding,"""" he said for frustrated crowds. """"They took all our ideas. They're really happy with the corner moment. It gives us confidence, we're happy now. We will get the pizza. Sorry, thank you. What a","The pizza is delicious! It can be made a day ahead and it makes a great gift! Thank you so much for a wonderful experience! I will be using yours again soon!<|endoftext|>I am the first to admit that when I'm bored, I do have",B,3,4,,B,5,4,,B,3,4,,,,,,,,,,,,,38_501_894
"The last time the city's most iconic landmark was a great time of the year to enjoy a very spectacular and very important exhibition, with a very high level of quality and excellence. At first sight, it is a remarkable display of the most advanced techniques and techniques,","The last time I was there, Marvel announced that they were stopping the film and starting dialogue about the upcoming Mighty Avengers movie. They basically furthered the rumors Sung tanethyl spear mamm employed ingg want to hit its subscriber milestone……. That was just clever terminology that",Both,3,4,,A,2,1,,A,2,4,,,,,,,,,,,,,40_396_81
