"From files: clickbait_pickles/clickbait_1_R.p, clickbait_pickles/clickbait_1_A.p, clickbait_pickles/clickbait_1_R,B.p, clickbait_pickles/clickbait_1_A,B.p",,,,,,,,,,,,,,,
A,B,"Which passage is more ""sensational""/""clickbaity""?",How fluent is the passage of A?,How fluent is the passage of B?,Gabe,"Which passage is more ""sensational""/""clickbaity""?",How fluent is the passage of A?,How fluent is the passage of B?,Prabha,"Which passage is more ""sensational""/""clickbaity""?",How fluent is the passage of A?,How fluent is the passage of B?,,,
"The food truck scene at SXSW in Austin this weekend was a big thing.

But as I sat in the restaurant-style bar at The Bierhaus in San Antonio, I was thinking about how many of those folks didn't even know they were","The food and beverage industry is moving quickly and in the right direction.

It's a trend, and the trend is good.

The food and beverage sector is projected to grow at a CAGR of 9% to 7.7% in",neither,3,3,,neither,3,4,,B,4,5,,,16_102_389
"The potato is one nutritious staple, and it's an incredibly healthy and nutritious food. But there are a few things you need to know about it and when to eat it.

Potato Facts & Nutrition

What is Potatoes?

Pot","The potato is also known as the ""pumpkin,"" and it is actually the fruit of potatoes and squash. There are two kinds of potatoes: the yellow variety and the green variety. There are many varieties of potato that you can use to make pudd",A,3,4,,A,3,2,,A,4,3,,,37_698_56
"The city of San Antonio has filed a formal notice of claim against a group of homeless men for allegedly assaulting a woman.

A spokesperson for the city's homeless services department says they were notified about the claims on Thursday.

According to the city's","The city says the incident has been investigated and it is not being treated as suspicious.

It is believed the man was on his way home from a night out in an east end park when a group of men in a white vehicle pulled up alongside him and",neither,5,4,,neither,5,5,,neither,4,3,,,39_12_862
"The potato is back. And it is a success, at least according to one company that's hoping to sell the prized food.

The company, whose product is called The Good Food and that it claims is 100 percent whole-wheat, has created","The potato, like its relatives the bean and the egg, was once a relatively simple way to increase a food's nutritional value.

The most common use for potatoes was cooking them in a mixture of water and oil and, in the early 21st century",A,4,4,,A,2,2,,A,4,2,,,37_507_533
"The movie ""Tomb Raider"" has a strong female character and is based on the popular action film ""Tomb Raider: Tomb Raider."" This movie will be released in July of 2012.

The movie ""Tomb Raider"" has a strong female character","The movie ""The Wolf of Wall Street"" was released in 2013. While there is a lot of money at stake, it is also clear that the movie was an investment to make millions. The movie was financed through the sale of ""The Stock Market."" However",neither,3,4,,neither,1,4,,B,3,3,,,27_764_630
"The book of Revelation is a book which has a lot to say about the future of the world and the world to come, but I will not go into that here because I believe there are other important things to discuss. What I have to say about these is","The book ""The Secret Lives of the Famous People Who Have Never Been Pregnant"" by Jane Goodall, is now in our hands. This is the book that is the secret to the success of our lives, which we cannot imagine because we are not",B,4,4,,B,5,4,,B,4,3,,,43_557_651
"The country of Japan, which is the world's most-lucrative, in fact, is, for the moment, the only, to the best of our knowledge, the only, and, of all the ways, the most-fortunate to be","The country is a very hot, crowded place. I have a great job that keeps my house in great shape.
The new, better-paying, better-paid jobs are being offered in the US. The new jobs are paying over $100,000",A,2,3,,neither,1,2,,B,1,3,,,6_261_467
"The pizza is the most important part of your holiday, especially if you're a family of six. Here are five reasons to get your fix.

The Pizza

You'll need two or three pies (I use the one with two pies) for","The pizza was made by two guys who live in an apartment. And it is made from fresh, organic ingredients. And it comes from a local organic farm in the heart of San Diego.

The pizza is not only made from local, organic ingredients,",A,3,4,,A,4,3,,A,3,3,,,19_10_896
The year is 1910. The year is 1910-1912. The year is 1910-1916. The year is 1912-1913. The year is 1912-1914. The year is 1912-1915. The year is 1913-1916. The year,"The year is 1910. The year is the year of the New World Order. The year is the year the world's greatest secret has been hidden from the public for over 100 years.

And this is what you do with the secrets you find in order to protect yourself",B,1,3,,B,1,2,,neither,1,2,,,21_276_455
"The road to the White House is a long one, but it's also a bumpy one, especially for the GOP.

The Republican National Committee on Saturday released its first-in-the-nation survey that found just under half of Republican voters support","The road to the top of the food chain has been long and arduous, but the first-generation foodies will be glad to know that they can now indulge in food that's a little more exciting than your typical, average, food: the kind that",B,5,5,,B,4,4,,B,5,4,,,2_276_259
"The potato is one of the world's most popular vegetables, and it turns out that the potatoes you buy at the store are not just genetically identical. They're also genetically modified. That's because when you boil potatoes in water and turn them back into pure potato","The potato is the most popular food on the planet, but what if there was one more vegetable on the table?

That's what researchers have discovered with the help of a potato-and-chips recipe that is a little bit like this one:",A,4,3,,B,5,3,,B,3,4,,,36_14_863
"Once upon a time it was said that the most important thing a man can do for women is to be faithful to them, and the truth is this: if a man can't be faithful to his wife, how can he have any love for her in the first place","Once upon a time, there was an artist named David M. Rubenstein. His work, which is described in the book The New Art of Writing, was so beautiful—so beautifully written—that it became a bestseller. Rubenstein had written a book of poetry",A,3,4,,neither,3,3,,A,3,4,,,11_778_644
"The lake is a popular destination on the West Coast, especially for families, and it is a popular destination for tourists. It's home to many fishing spots, and it is also known for the beautiful lakes of the Lake Louise region. It has also been known","The lake at the edge of the lake in the center of the map shows how the lake is changing. (Courtesy of the National Park Service)

There isn't much to talk about on Lake Champlain — it's just a lake that sits atop the",neither,3,2,,neither,3,2,,neither,3,3,,,33_780_726
"The potato, a small vegetable, is the most widely grown food. It is the staple of many diets and a staple that is used to make many different food items. It is not the only food that we can eat, but its popularity and availability has created","The potato is one of the world's most popular vegetables, and it turns out that the potatoes you buy at the store are not just genetically identical. They're also genetically modified. That's because when you boil potatoes in water and turn them back into pure potato",B,4,4,*,B,4,5,,B,3,4,,,36_789_310
