"From files: pickles/religion_pickles/religion_A,B.p, greedy_bow_results.json",,Which passage is more topic relevant?,How fluent is the passage of A?,How fluent is the passage of B?,Raymis,Which passage is positive?,How fluent is the passage of A?,How fluent is the passage of B?,Shannon,Which passage is positive?,How fluent is the passage of A?,How fluent is the passage of B?,Hayley,,,,,,,,,,,,
"Emphasised are the two most common and significant factors for the development of depression in patients with bipolar disorder, but there are other factors that are important and potentially important for patients with bipolar disorder and depression. The main focus of the paper is not on any single factor, but the relationship between a series of factors, such as age, gender, family status, education, employment and social network, and whether there is a particular risk of the development of depression or whether other factors are involved, particularly those that may increase risk
 ",Emphasised are the benefits of the program and the fact that it is funded by the taxpayer. These statements are not intended to encourage the government to provide assistance to people with disabilities who are in need of help. They are merely an acknowledgement that we do not know what is going on in the universe and therefore cannot make God's plan come true.<|endoftext|>A couple of weeks ago I posted an,Neither,3,4,,Neither,3,4,,B,3,4,,,,,,,,,,,,,41_153_306
"Furthermore, he said, the government's plan to introduce a new tax system to finance the infrastructure projects would not go as smoothly as the public had hoped. ""The problem is we are not going to be able to meet the demands of the people, the people will not give you what you want. The first thing the Lord God said to Noah was, 'Behold, your God God God","Furthermore, in the case of the former, we have to note that this is an issue for the future, and that the Church may well continue to operate with this particular Church-issued card, and that this card may be used for any purpose whatsoever for which this Church issued card is authorized.
 In the case of the Church-issued card, it does seem that this Church card has some inherent limitations which may have to do with the circumstances under which Church members are authorized to obtain Church credits from Church
 ",Both,3,3,,Both,3,4,,Both,4,3,,,,,,,,,,,,,24_174_29
"The central theme of this essay, as with many of the arguments against the Church, is that there isn't enough. The Church does have enough—but that's a different conversation. We need to get into the ""Holy Ghost,"" the Spirit, the Word of God. That's how we are to be saved and glorified. God is the Savior of Jesus Christ God, Jesus Christ God","The central theme of Christianity, Jesus Christ, is love. Love for God and God for Jesus. Love of God and God for Jesus. God loves people and the Church loves God's Church because God is Love. God loves us because God loves us. Jesus, the Christ, Jesus Christ, is Love. Jesus is God's God, Love of God and God for Jesus. Jesus is God's God, Jesus Christ, Jesus Christ, Jesus Christ, Jesus Christ, Jesus Christ. Love is God's Love.
 ",Both,1,1,,Both,2,1,,Both,2,1,,,,,,,,,,,,,27_710_233
"To review, a lot can be done by using an app such as Widgetify or a website to add a simple and intuitive widget to your site.

The first step to making an app is to learn about it from your developer friends and learn about the different ways to make a game in the world of the game.
I know there is no God, only gods. But,","To review, I had a good day at a coffee shop and got to chat with an amazing customer who is a great friend. We talked about our experiences working at different companies and we discussed the many different ways you can help.
 We then talked about what we thought would be a perfect way to make it work. After talking a little about it, I realized we would need to make it happen with some sort of donation. To make this idea happen we decided to use our business cards and create these amazing
 ",Neither,4,4,,Neither,4,4,,A,4,4,,,,,,,,,,,,,15_730_743
"It has been shown that a high intake of carbohydrates can cause an increase in blood glucose levels and decrease insulin resistance in mice. A study by a group of investigators at the Center for Diabetes Control and Prevention (CDC) in Atlanta, GA, investigated the effects of a high-fiber diet in mice on glucose, insulin, and blood pressure. The authors found that the mice were able to increase their insulin sensitivity and decrease their blood pressure, which were both beneficial to their health. In the mice given a high-f
 ","It has been shown that the amount that people are willing to spend for food on the Bible Belt varies with their religious affiliation.

A new study, published in the Journal of Economic Perspectives, finds that the Bible Belt (the West) is more likely to be Christian than other religious groups.

The study was conducted by researchers at the University of Chicago and the University of Texas at Austin. The study found",B,3,5,,B,3,5,,B,4,4,,,,,,,,,,,,,51_815_562
"Foundational to this is the idea that the human body is a biological system, not an intellectual entity. If we believe that we are immortal and that the soul can come back to earth in our next life, then it must have been a divine plan to give the world a soul. We have seen God's word in the Bible, so we have no reason to think God would do anything different","Foundational to this is the question of ""how did the Bible get its meaning?"" For many years the Bible has been used to teach the Bible as God's Word and not just for God's Word, and the Bible has been used to teach God's Word as God's Scripture. However, the Bible is not just God's Word but God's Bible. God's Bible does have some differences from God's Scripture but God knows these differences and knows how to reconcile God's Scriptures with God's Word by showing Jesus Jesus Christ
 ",Both,1,1,,Both,1,1,,Both,3,1,,,,,,,,,,,,,13_410_293
"Emphasised are the strengths, weaknesses and opportunities that will be provided by the changes to the Australian Capital Territory.
 The changes are part of Australia's ongoing plan to reform its welfare system through the National Disability Insurance Scheme (NDIS). The NDI will be introduced to the Territory and it has been estimated that it will save the federal Treasury about $4 billion a year.
 The changes are expected to create a much stronger and more efficient system of welfare in the NT. These changes are expected to result
 ","Emphasised are the words of Jesus Christ. They were written in the New Testament. They are not the same words spoken by the Apostle Paul (Romans 4:23-25).

It is Jesus Christ who, after being crucified, was raised and glorified by God, who is ""The God and Jesus Christ"" (1 Corinthians 10:13).

Jesus said",B,4,4,,B,4,3,,B,4,4,,,,,,,,,,,,,39_413_780
"Emphasised are: the fact that the majority of the world's population of women are still being forced into prostitution, and the fact that sex-selective abortion has been legal in Britain for decades – but is now being used to control women's bodies.

The article was written by a former member of the Christian Church who believes that God is God and that he was the first Christian","Emphasised are the words of the Bible and the teachings of Jesus Christ. These are the words that God has given to us. God says in Scripture that Jesus Christ will come and will restore the Church. God says in Scripture that He will give us His Spirit to guide us through the difficult trials of our life. God says God says to us: ""This is My beloved Son whom I love; follow Him."" Scripture says God says Jesus Christ has promised His disciples eternal life. Jesus Christ promises His disciples eternal life
 ",Both,4,3,,Both,4,3,,Both,4,1,,,,,,,,,,,,,40_396_81
"The connection to the ancient city was established in a series of events called ""The Fall,"" in which Jesus died, was buried, rose again, was resurrected, ascended into heaven, returned to life, ascended to heaven again, and was raised from his tomb on the third day. In his Gospel of Mark, Jesus' last words are ""And I tell you, whoever believes in me and the Bible will not","The connection between the two is so strong, it's almost impossible to ignore. The two men have been at each other's throats since before they met on the streets of Los Angeles in the early '60s. But the two men have never quite gotten over their differences — and the rift is now more intense than ever between them, as the world's media continues to focus on the ongoing feud between Kim Kardashian West and Kanye West over their marriage — even though Kardashian has been married to Kanye since 2005 (the
 ",A,3,3,,A,3,3,,A,3,2,,,,,,,,,,,,,11_152_337
"Prior to this week, the only way to get one of these devices was through a third-party seller. The only way to get one of these devices was through a third-party seller.
 This week, Apple is finally offering the company's iPhone 7 Plus with Touch ID, along with the new 64GB version with 256GB of storage. The two versions come on top of the 32GB iPhone 7 Plus that went on sale last week (which sold out before the weekend). Apple also dropped another $
 ","Prior to this, he had been in trouble with the law twice for drug offenses. On the first case, a judge found him guilty of possession of drugs, with a potential sentence of 10 years in state prison. In the next case where his probation officer found him guilty, the judge said: ""I am sure the man has a good heart who is willing to make peace between God and the",Neither,2,4,,Neither,2,4,,B,4,4,,,,,,,,,,,,,36_841_238
